Rank,Year,Name,Frequency
1,2021,Oliver,695
2,2021,Noah,633
3,2021,Jack,459
4,2021,William,458
5,2021,Henry,444
6,2021,Leo,424
7,2021,Lucas,410
8,2021,Theodore,378
9,2021,Levi,339
10,2021,Liam,336
11,2021,Elijah,331
12,2021,Thomas,330
13,2021,Charlie,327
13,2021,Archie,327
14,2021,Hudson,324
15,2021,Luca,317
16,2021,Alexander,314
17,2021,James,310
18,2021,Ethan,285
19,2021,Lachlan,274
20,2021,Oscar,272
21,2021,Harrison,270
22,2021,Isaac,268
23,2021,Cooper,259
24,2021,Max,253
25,2021,George,245
26,2021,Arthur,241
27,2021,Sebastian,240
28,2021,Kai,238
29,2021,Hunter,236
30,2021,Harvey,234
30,2021,Benjamin,234
31,2021,Harry,232
32,2021,Arlo,231
33,2021,Hugo,230
34,2021,Mason,224
34,2021,Jacob,224
35,2021,Archer,214
36,2021,Samuel,210
37,2021,Beau,199
38,2021,Xavier,195
39,2021,Joshua,192
40,2021,Finn,190
41,2021,Joseph,188
42,2021,Ryan,182
43,2021,Edward,173
44,2021,Muhammad,172
45,2021,Louis,169
46,2021,Austin,167
47,2021,Logan,165
48,2021,Daniel,164
49,2021,Adam,163
50,2021,Michael,162
51,2021,Sonny,161
52,2021,Jackson,160
53,2021,Jasper,157
53,2021,Gabriel,157
54,2021,Jordan,153
55,2021,Patrick,152
56,2021,Leon,151
57,2021,Riley,149
58,2021,Aiden,148
59,2021,Carter,147
60,2021,Eli,146
61,2021,Jayden,144
62,2021,Luka,142
62,2021,Ali,142
63,2021,Lincoln,141
64,2021,Theo,134
65,2021,River,133
66,2021,Flynn,129
67,2021,Felix,128
68,2021,Christian,126
69,2021,Leonardo,125
70,2021,Billy,124
71,2021,Zachary,122
71,2021,Asher,122
72,2021,Elias,119
73,2021,Lennox,118
73,2021,Bodhi,118
74,2021,Nicholas,117
75,2021,Angus,115
76,2021,Jude,110
77,2021,Roman,108
78,2021,Vincent,106
78,2021,Matthew,106
79,2021,Ezra,105
79,2021,Ari,105
80,2021,Charles,104
81,2021,Luke,103
82,2021,Spencer,102
82,2021,Ashton,102
83,2021,Zayn,100
83,2021,Koa,100
84,2021,Owen,99
84,2021,Jaxon,99
85,2021,Maxwell,98
86,2021,Isaiah,97
86,2021,Anthony,97
87,2021,Tyler,96
1,2020,Oliver,637
2,2020,Noah,593
3,2020,William,478
4,2020,Leo,420
5,2020,Lucas,409
6,2020,Liam,383
7,2020,Jack,376
8,2020,Henry,374
9,2020,Elijah,371
10,2020,Thomas,351
11,2020,James,344
11,2020,Alexander,344
12,2020,Charlie,335
13,2020,Levi,317
14,2020,Theodore,313
15,2020,Hudson,307
16,2020,Jacob,293
17,2020,Archie,290
18,2020,Ethan,287
19,2020,Harrison,286
