Rank,Year,Name,Frequency
1,1922,Margaret,59
2,1922,Mary,58
3,1922,Dorothy,40
4,1922,Elizabeth,23
4,1922,Helen,23
5,1922,Doris,22
6,1922,Annie,21
7,1922,Joan,19
8,1922,Betty,18
8,1922,Florence,18
8,1922,Patricia,18
9,1922,Irene,16
9,1922,Jean,16
10,1922,Alice,14
10,1922,Audrey,14
10,1922,Barbara,14
10,1922,Evelyn,14
10,1922,Joyce,14
10,1922,Violet,14
11,1922,Doreen,13
11,1922,Ruth,13
12,1922,Ethel,12
12,1922,Frances,12
12,1922,Gladys,12
12,1922,Kathleen,12
12,1922,Marjorie,12
13,1922,Muriel,11
13,1922,Thelma,11
14,1922,Edna,10
14,1922,Gertrude,10
14,1922,Jessie,10
14,1922,Lillian,10
14,1922,Phyllis,10
14,1922,Ruby,10
15,1922,Bernice,9
15,1922,Marie,9
15,1922,May,9
15,1922,Norma,9
15,1922,Shirley,9
16,1922,Anna,8
16,1922,Catherine,8
16,1922,Marion,8
16,1922,Nancy,8
16,1922,Olive,8
17,1922,Edith,7
17,1922,Eileen,7
17,1922,Ellen,7
17,1922,Emma,7
17,1922,Mabel,7
17,1922,Marguerite,7
17,1922,Pauline,7
18,1922,Blanche,6
18,1922,Elsie,6
18,1922,Gloria,6
18,1922,Hazel,6
18,1922,June,6
18,1922,Laura,6
18,1922,Lois,6
18,1922,Mildred,6
18,1922,Nellie,6
18,1922,Vera,6
19,1922,Agnes,5
19,1922,Aiko,5
19,1922,Alma,5
19,1922,Amy,5
19,1922,Charlotte,5
19,1922,Clara,5
19,1922,Daisy,5
19,1922,Elaine,5
19,1922,Eva,5
19,1922,Fumiko,5
19,1922,Grace,5
19,1922,Jacqueline,5
19,1922,Louise,5
19,1922,Miyoko,5
19,1922,Yoshiko,5
1,1923,Mary,207
2,1923,Margaret,177
3,1923,Dorothy,146
4,1923,Elizabeth,76
4,1923,Helen,76
4,1923,Jean,76
5,1923,Phyllis,58
6,1923,Patricia,53
7,1923,Evelyn,52
7,1923,Ruth,52
8,1923,Joan,51
9,1923,Doreen,50
9,1923,Doris,50
10,1923,Irene,48
11,1923,Marjorie,47
12,1923,Florence,46
12,1923,Kathleen,46
13,1923,Barbara,45
14,1923,Audrey,44
15,1923,Eileen,43
16,1923,Edith,42
17,1923,Alice,36
18,1923,Agnes,35
18,1923,Frances,35
19,1923,Betty,34
19,1923,Joyce,34
19,1923,Marion,34
20,1923,Annie,33
20,1923,Shirley,33
21,1923,Muriel,32
21,1923,Norma,32
22,1923,Hazel,31
23,1923,Eleanor,28
23,1923,Gladys,28
24,1923,Elsie,26
24,1923,Thelma,26
25,1923,Ethel,25
25,1923,Mildred,25
26,1923,Edna,24
26,1923,Grace,24
26,1923,June,24
26,1923,Lillian,24
26,1923,Marie,24
26,1923,Violet,24
27,1923,Gloria,23
28,1923,Catherine,22
28,1923,Jessie,22
29,1923,Anna,21
30,1923,Eva,20
30,1923,Lois,20
30,1923,Myrtle,20
31,1923,Vera,19
32,1923,Laura,18
33,1923,Lorna,17
33,1923,Olive,17
33,1923,Sheila,17
34,1923,Mabel,16
34,1923,Nora,16
34,1923,Rose,16
34,1923,Ruby,16
35,1923,May,15
35,1923,Nancy,15
35,1923,Pearl,15
35,1923,Sarah,15
36,1923,Beatrice,14
37,1923,Bernice,13
37,1923,Ellen,13
37,1923,Emily,13
37,1923,Hilda,13
37,1923,Janet,13
37,1923,Marguerite,13
37,1923,Verna,13
37,1923,Yoshiko,13
38,1923,Fumiko,12
38,1923,Gertrude,12
38,1923,Isabel,12
38,1923,Isabella,12
38,1923,Toshiko,12
38,1923,Vivian,12
38,1923,Winifred,12
39,1923,Francis,11
39,1923,Isobel,11
39,1923,Pauline,11
39,1923,Velma,11
40,1923,Beryl,10
40,1923,Christina,10
40,1923,Geraldine,10
40,1923,Iris,10
40,1923,Josephine,10
40,1923,Lorraine,10
40,1923,Maria,10
41,1923,Charlotte,9
41,1923,Daphne,9
41,1923,Dora,9
41,1923,Ivy,9
41,1923,Katherine,9
41,1923,Lucy,9
41,1923,Nellie,9
41,1923,Rosemary,9
41,1923,Virginia,9
42,1923,Ada,8
42,1923,Bertha,8
42,1923,Clara,8
42,1923,Constance,8
42,1923,Emma,8
42,1923,Freda,8
42,1923,Georgina,8
42,1923,Lucille,8
42,1923,Marjory,8
42,1923,Olga,8
42,1923,Roberta,8
42,1923,Wilma,8
42,1923,Yvonne,8
43,1923,Ayako,7
43,1923,Beverley,7
43,1923,Beverly,7
43,1923,Dorothea,7
43,1923,Flora,7
43,1923,Gwendolyn,7
43,1923,Ida,7
43,1923,Jacqueline,7
43,1923,Lilian,7
43,1923,Martha,7
43,1923,Polly,7
43,1923,Winnifred,7
44,1923,Anne,6
44,1923,Elaine,6
44,1923,Ella,6
44,1923,Emiko,6
44,1923,Esther,6
44,1923,Mavis,6
44,1923,Miyoko,6
44,1923,Nobuko,6
44,1923,Norah,6
44,1923,Pamela,6
44,1923,Rosie,6
44,1923,Stella,6
44,1923,Teresa,6
44,1923,Victoria,6
44,1923,Viola,6
44,1923,Yuriko,6
45,1923,Alma,5
45,1923,Amy,5
45,1923,Anita,5
45,1923,Blanche,5
45,1923,Diana,5
45,1923,Enid,5
45,1923,Harriet,5
45,1923,Jane,5
45,1923,Jeanette,5
45,1923,Julia,5
45,1923,Katie,5
45,1923,Lai,5
45,1923,Lila,5
45,1923,Margret,5
45,1923,Merle,5
45,1923,Mona,5
45,1923,Phylis,5
45,1923,Shizuko,5
45,1923,Sylvia,5
1,1924,Margaret,204
2,1924,Mary,172
3,1924,Dorothy,148
4,1924,Jean,88
5,1924,Helen,68
6,1924,Kathleen,64
7,1924,Joan,59
8,1924,Evelyn,58
9,1924,Barbara,54
10,1924,Doreen,52
11,1924,Betty,51
11,1924,Elizabeth,51
12,1924,Marjorie,50
13,1924,Patricia,48
14,1924,Florence,45
15,1924,Audrey,44
15,1924,Shirley,44
16,1924,Annie,43
17,1924,Joyce,39
17,1924,June,39
17,1924,Marion,39
17,1924,Norma,39
18,1924,Edith,38
18,1924,Irene,38
19,1924,Catherine,36
20,1924,Phyllis,34
21,1924,Alice,33
21,1924,Doris,33
22,1924,Eileen,31
22,1924,Ethel,31
22,1924,Ruth,31
23,1924,Violet,30
24,1924,Lillian,29
24,1924,Mildred,29
25,1924,Muriel,28
25,1924,Vera,28
26,1924,Gladys,27
27,1924,Edna,26
27,1924,Frances,26
27,1924,Thelma,26
28,1924,Elsie,25
28,1924,Grace,25
29,1924,Eleanor,24
29,1924,Gloria,24
29,1924,Hazel,24
