Rank,Year,Name,Frequency
1,1960,Susan,3299
2,1960,Mary,3248
3,1960,Karen,3156
4,1960,Cynthia,2982
5,1960,Lisa,2839
6,1960,Linda,2807
7,1960,Debra,2692
8,1960,Patricia,2668
9,1960,Deborah,2490
10,1960,Sandra,2404
11,1960,Laura,2032
12,1960,Elizabet,1905
13,1960,Pamela,1839
14,1960,Donna,1820
15,1960,Kathleen,1772
16,1960,Lori,1746
17,1960,Kimberly,1710
18,1960,Teresa,1709
19,1960,Julie,1665
20,1960,Cheryl,1639
21,1960,Barbara,1605
22,1960,Nancy,1569
23,1960,Denise,1501
24,1960,Christin,1410
25,1960,Carol,1322
1,1961,Lisa,3497
2,1961,Susan,3221
3,1961,Karen,2985
4,1961,Mary,2973
5,1961,Cynthia,2832
6,1961,Linda,2674
7,1961,Patricia,2522
8,1961,Deborah,2495
9,1961,Sandra,2483
10,1961,Debra,2211
11,1961,Laura,2073
12,1961,Elizabet,2043
13,1961,Julie,1895
14,1961,Lori,1881
15,1961,Kimberly,1850
16,1961,Kathleen,1842
17,1961,Pamela,1778
18,1961,Teresa,1690
19,1961,Donna,1639
20,1961,Christin,1628
21,1961,Cheryl,1582
22,1961,Denise,1532
23,1961,Nancy,1517
24,1961,Barbara,1494
25,1961,Robin,1378
1,1962,Lisa,3698
2,1962,Susan,3088
3,1962,Karen,2935
4,1962,Mary,2924
5,1962,Cynthia,2850
6,1962,Deborah,2540
7,1962,Linda,2418
8,1962,Patricia,2302
9,1962,Kimberly,2223
10,1962,Sandra,2157
11,1962,Debra,2109
12,1962,Laura,1995
13,1962,Julie,1897
14,1962,Elizabet,1810
15,1962,Lori,1802
16,1962,Pamela,1751
17,1962,Christin,1732
18,1962,Kathleen,1701
19,1962,Teresa,1680
20,1962,Donna,1654
21,1962,Denise,1480
22,1962,Kelly,1461
23,1962,Cheryl,1438
24,1962,Barbara,1398
25,1962,Michelle,1383
1,1963,Lisa,4661
2,1963,Susan,2920
3,1963,Mary,2788
4,1963,Karen,2723
5,1963,Cynthia,2559
6,1963,Deborah,2407
7,1963,Patricia,2269
8,1963,Kimberly,2254
9,1963,Linda,2144
10,1963,Laura,2141
11,1963,Sandra,2113
12,1963,Christin,2019
13,1963,Elizabet,1929
14,1963,Julie,1847
15,1963,Lori,1823
16,1963,Debra,1804
17,1963,Teresa,1673
18,1963,Pamela,1656
19,1963,Kathleen,1582
20,1963,Kelly,1559
21,1963,Maria,1513
22,1963,Donna,1510
23,1963,Denise,1487
24,1963,Michelle,1486
25,1963,Jennifer,1404
1,1964,Lisa,4541
2,1964,Mary,2892
3,1964,Kimberly,2556
4,1964,Susan,2535
5,1964,Karen,2495
6,1964,Cynthia,2451
7,1964,Patricia,2363
8,1964,Christin,2352
9,1964,Deborah,2232
10,1964,Laura,2155
11,1964,Sandra,1926
12,1964,Elizabet,1843
13,1964,Julie,1827
14,1964,Linda,1785
15,1964,Michelle,1637
16,1964,Maria,1527
17,1964,Jennifer,1520
18,1964,Denise,1507
19,1964,Debra,1490
20,1964,Pamela,1458
21,1964,Kathleen,1456
22,1964,Teresa,1422
23,1964,Kelly,1415
24,1964,Lori,1387
25,1964,Donna,1377
1,1965,Lisa,4629
2,1965,Kimberly,2822
3,1965,Karen,2633
4,1965,Christin,2462
5,1965,Mary,2293
6,1965,Cynthia,2200
7,1965,Patricia,2160
8,1965,Susan,1968
9,1965,Deborah,1867
10,1965,Julie,1829
11,1965,Elizabet,1812
12,1965,Laura,1756
13,1965,Michelle,1704
14,1965,Jennifer,1650
15,1965,Sandra,1638
16,1965,Linda,1598
17,1965,Maria,1511
18,1965,Denise,1380
19,1965,Kelly,1368
20,1965,Debra,1303
21,1965,Teresa,1274
22,1965,Donna,1263
23,1965,Kathleen,1211
24,1965,Tracy,1198
25,1965,Pamela,1157
1,1966,Lisa,4672
2,1966,Michelle,3053
3,1966,Kimberly,2990
4,1966,Christin,2481
5,1966,Karen,1983
6,1966,Cynthia,1940
7,1966,Mary,1924
8,1966,Jennifer,1852
9,1966,Susan,1789
10,1966,Patricia,1757
11,1966,Julie,1705
12,1966,Deborah,1649
13,1966,Elizabet,1623
14,1966,Laura,1615
15,1966,Sandra,1548
16,1966,Maria,1395
17,1966,Kelly,1256
18,1966,Denise,1230
19,1966,Tina,1216
20,1966,Michele,1178
21,1966,Linda,1168
22,1966,Teresa,1159
23,1966,Tracy,1133
24,1966,Kathleen,1110
25,1966,Stephani,1102
1,1967,Lisa,4361
2,1967,Michelle,3424
3,1967,Kimberly,2970
4,1967,Christin,2682
5,1967,Jennifer,1818
6,1967,Julie,1807
7,1967,Cynthia,1739
8,1967,Mary,1691
9,1967,Karen,1684
10,1967,Patricia,1675
11,1967,Elizabet,1626
12,1967,Susan,1584
13,1967,Laura,1571
14,1967,Maria,1461
15,1967,Sandra,1412
16,1967,Stephani,1406
17,1967,Deborah,1368
18,1967,Denise,1251
19,1967,Kelly,1238
19,1967,Tina,1238
21,1967,Wendy,1113
22,1967,Angela,1112
23,1967,Tracy,1110
24,1967,Michele,1079
25,1967,Tammy,1050
1,1968,Lisa,4301
2,1968,Michelle,3610
3,1968,Christin,2999
4,1968,Jennifer,2855
5,1968,Kimberly,2737
6,1968,Laura,1951
7,1968,Julie,1652
8,1968,Patricia,1528
9,1968,Cynthia,1482
10,1968,Elizabet,1473
11,1968,Mary,1470
12,1968,Karen,1461
13,1968,Kelly,1445
14,1968,Maria,1430
15,1968,Stephani,1347
16,1968,Susan,1325
17,1968,Tina,1310
18,1968,Sandra,1301
19,1968,Angela,1254
20,1968,Deborah,1222
21,1968,Michele,1185
22,1968,Melissa,1158
23,1968,Wendy,1084
24,1968,Denise,1045
25,1968,Tracy,1037
1,1969,Lisa,3956
2,1969,Michelle,3608
3,1969,Jennifer,3420
4,1969,Christin,3216
5,1969,Kimberly,2910
6,1969,Julie,1913
7,1969,Laura,1806
8,1969,Cynthia,1566
9,1969,Maria,1537
10,1969,Patricia,1520
11,1969,Elizabet,1463
12,1969,Stephani,1432
13,1969,Mary,1385
14,1969,Shannon,1373
15,1969,Sandra,1346
16,1969,Karen,1302
17,1969,Angela,1301
18,1969,Melissa,1269
19,1969,Kelly,1253
20,1969,Tina,1224
21,1969,Susan,1199
22,1969,Tracy,1159
23,1969,Denise,1113
24,1969,Heather,1111
25,1969,Michele,1062
1,1970,Jennifer,4681
2,1970,Lisa,3552
3,1970,Michelle,3541
4,1970,Christin,3206
5,1970,Kimberly,2778
6,1970,Julie,1758
7,1970,Maria,1660
8,1970,Laura,1639
9,1970,Shannon,1615
10,1970,Cynthia,1594
11,1970,Heather,1582
12,1970,Elizabet,1564
13,1970,Stephani,1535
14,1970,Angela,1508
15,1970,Patricia,1355
16,1970,Tracy,1313
17,1970,Amy,1296
17,1970,Melissa,1296
19,1970,Sandra,1273
20,1970,Mary,1272
21,1970,Karen,1225
22,1970,Dawn,1176
23,1970,Tina,1173
24,1970,Nicole,1155
25,1970,Kelly,1077
1,1971,Jennifer,5468
2,1971,Michelle,3167
3,1971,Lisa,2863
4,1971,Christin,2811
5,1971,Kimberly,2288
6,1971,Maria,1618
7,1971,Heather,1500
8,1971,Julie,1469
9,1971,Shannon,1392
10,1971,Cynthia,1391
11,1971,Elizabet,1384
12,1971,Amy,1382
13,1971,Stephani,1364
14,1971,Angela,1352
15,1971,Laura,1339
16,1971,Melissa,1266
17,1971,Patricia,1199
18,1971,Sandra,1107
19,1971,Tina,1034
20,1971,Rebecca,1033
21,1971,Nicole,1026
22,1971,Mary,1025
23,1971,Karen,996
24,1971,Tracy,989
25,1971,Dawn,966
1,1972,Jennifer,6063
2,1972,Michelle,2770
3,1972,Christin,2590
4,1972,Lisa,2353
5,1972,Kimberly,1918
6,1972,Maria,1629
7,1972,Nicole,1499
8,1972,Heather,1492
9,1972,Amy,1423
10,1972,Stephani,1421
11,1972,Julie,1352
12,1972,Elizabet,1342
13,1972,Cynthia,1310
14,1972,Melissa,1260
15,1972,Angela,1200
16,1972,Laura,1194
17,1972,Shannon,1172
18,1972,Rebecca,1126
19,1972,Patricia,1010
20,1972,Sandra,991
21,1972,Monica,965
22,1972,Mary,920
23,1972,Tina,872
24,1972,Andrea,839
25,1972,Karen,800
1,1973,Jennifer,5628
2,1973,Michelle,2479
3,1973,Christin,2437
4,1973,Lisa,2014
5,1973,Maria,1753
6,1973,Kimberly,1740
7,1973,Heather,1659
8,1973,Amy,1595
9,1973,Melissa,1400
10,1973,Stephani,1357
11,1973,Elizabet,1288
12,1973,Nicole,1286
13,1973,Rebecca,1279
14,1973,Julie,1183
15,1973,Cynthia,1141
16,1973,Shannon,1068
17,1973,Laura,1061
18,1973,Veronica,1060
19,1973,Angela,1013
20,1973,Monica,984
21,1973,Patricia,913
22,1973,Sandra,888
23,1973,Andrea,819
24,1973,Mary,792
25,1973,Jessica,762
1,1974,Jennifer,5631
2,1974,Michelle,2510
3,1974,Christin,2449
4,1974,Heather,1904
5,1974,Maria,1858
6,1974,Amy,1840
7,1974,Lisa,1783
8,1974,Kimberly,1695
9,1974,Melissa,1489
10,1974,Elizabet,1479
11,1974,Stephani,1415
12,1974,Angela,1262
13,1974,Veronica,1193
14,1974,Rebecca,1190
15,1974,Nicole,1171
16,1974,Jessica,1111
17,1974,Shannon,1105
18,1974,Julie,1104
19,1974,Laura,1030
20,1974,Cynthia,1022
21,1974,Monica,1017
22,1974,Patricia,1001
23,1974,Sarah,973
24,1974,Sandra,963
25,1974,Andrea,859
1,1975,Jennifer,5311
2,1975,Christin,2638
3,1975,Michelle,2230
4,1975,Amy,2193
5,1975,Maria,1944
6,1975,Heather,1937
7,1975,Melissa,1687
8,1975,Lisa,1602
9,1975,Kimberly,1503
10,1975,Elizabet,1467
11,1975,Angela,1400
12,1975,Nicole,1349
13,1975,Stephani,1340
14,1975,Jessica,1297
15,1975,Veronica,1239
16,1975,Rebecca,1150
17,1975,Sarah,1076
18,1975,Laura,1058
19,1975,Patricia,1025
20,1975,Monica,1006
21,1975,Julie,983
22,1975,Shannon,974
23,1975,Cynthia,909
24,1975,Erin,892
25,1975,Andrea,873
1,1976,Jennifer,5564
2,1976,Christin,2610
3,1976,Amy,2210
4,1976,Michelle,2061
5,1976,Maria,1927
6,1976,Melissa,1885
7,1976,Heather,1861
8,1976,Jessica,1783
9,1976,Lisa,1704
10,1976,Elizabet,1647
11,1976,Nicole,1454
12,1976,Sarah,1414
13,1976,Angela,1388
14,1976,Kimberly,1284
15,1976,Stephani,1256
16,1976,Rebecca,1254
17,1976,Shannon,1208
18,1976,Veronica,1192
19,1976,Laura,1170
20,1976,Monica,1118
21,1976,Jamie,1085
22,1976,Julie,994
23,1976,Amanda,958
24,1976,Erin,916
25,1976,Andrea,899
1,1977,Jennifer,5553
2,1977,Christin,2648
3,1977,Jessica,2224
4,1977,Melissa,2196
5,1977,Michelle,2195
6,1977,Sarah,1884
7,1977,Maria,1826
8,1977,Heather,1803
9,1977,Elizabet,1775
10,1977,Lisa,1711
11,1977,Amy,1613
12,1977,Nicole,1556
13,1977,Kimberly,1401
14,1977,Angela,1400
15,1977,Stephani,1345
16,1977,Kelly,1309
17,1977,Veronica,1172
18,1977,Monica,1170
19,1977,Rebecca,1153
20,1977,Jamie,1136
21,1977,Shannon,1123
22,1977,Amanda,1092
23,1977,Laura,1062
24,1977,Andrea,1049
25,1977,Amber,1005
1,1978,Jennifer,5288
2,1978,Melissa,2437
3,1978,Jessica,2380
4,1978,Michelle,2262
5,1978,Sarah,2107
6,1978,Christina,2025
7,1978,Nicole,1891
8,1978,Maria,1835
9,1978,Elizabeth,1787
10,1978,Heather,1745
11,1978,Lisa,1722
12,1978,Angela,1433
13,1978,Stephanie,1394
14,1978,Amy,1383
15,1978,Kimberly,1292
16,1978,Kelly,1250
17,1978,Rebecca,1213
18,1978,Amanda,1175
19,1978,Veronica,1162
20,1978,Monica,1130
21,1978,Amber,1094
22,1978,Andrea,1072
23,1978,Shannon,1047
24,1978,Laura,1039
25,1978,Erin,1016
1,1979,Jennifer,5463
2,1979,Melissa,2979
3,1979,Jessica,2523
4,1979,Michelle,2376
5,1979,Nicole,2168
6,1979,Sarah,2096
7,1979,Christina,1991
8,1979,Maria,1939
9,1979,Elizabeth,1918
10,1979,Lisa,1729
11,1979,Heather,1605
12,1979,Amanda,1585
13,1979,Angela,1486
14,1979,Stephanie,1399
15,1979,Amy,1371
16,1979,Kimberly,1358
17,1979,Amber,1352
18,1979,Rebecca,1235
19,1979,Monica,1232
20,1979,Laura,1202
21,1979,Veronica,1176
22,1979,Andrea,1146
23,1979,Kelly,1141
