Rank,Year,Name,Frequency
1,1960,Michael,8770
2,1960,David,8033
3,1960,Robert,6798
4,1960,John,6308
5,1960,James,5900
6,1960,Mark,5389
7,1960,Richard,4436
8,1960,Steven,4310
9,1960,William,3943
10,1960,Daniel,3081
11,1960,Thomas,2978
12,1960,Jeffrey,2940
13,1960,Timothy,2695
14,1960,Kenneth,2563
15,1960,Ronald,2477
16,1960,Kevin,2325
17,1960,Gregory,2266
18,1960,Joseph,2178
19,1960,Charles,2172
20,1960,Donald,2162
21,1960,Paul,2136
22,1960,Brian,1968
23,1960,Christop,1951
24,1960,Anthony,1906
25,1960,Scott,1893
1,1961,Michael,9444
2,1961,David,8353
3,1961,Robert,7054
4,1961,John,6751
5,1961,James,6055
6,1961,Mark,5339
7,1961,Steven,4211
8,1961,Richard,4186
9,1961,William,3763
10,1961,Daniel,3212
11,1961,Jeffrey,3118
12,1961,Thomas,2991
13,1961,Kenneth,2534
14,1961,Ronald,2515
15,1961,Kevin,2449
16,1961,Timothy,2405
17,1961,Gregory,2364
18,1961,Christop,2266
19,1961,Joseph,2234
20,1961,Charles,2172
21,1961,Paul,2162
22,1961,Donald,2146
23,1961,Scott,2117
24,1961,Brian,2026
25,1961,Anthony,1999
1,1962,Michael,9336
2,1962,David,8059
3,1962,Robert,7031
4,1962,John,6612
5,1962,James,5863
6,1962,Mark,4911
7,1962,Richard,4340
8,1962,Steven,3914
9,1962,William,3727
10,1962,Jeffrey,3389
11,1962,Daniel,3049
12,1962,Thomas,2902
13,1962,Scott,2753
14,1962,Kenneth,2587
15,1962,Gregory,2548
16,1962,Kevin,2429
17,1962,Ronald,2426
18,1962,Joseph,2387
19,1962,Timothy,2345
20,1962,Christop,2219
21,1962,Paul,2157
22,1962,Charles,2077
23,1962,Brian,2061
24,1962,Anthony,2001
25,1962,Donald,1929
1,1963,Michael,9136
2,1963,David,7692
3,1963,Robert,7132
4,1963,John,6978
5,1963,James,5793
6,1963,Mark,4651
7,1963,Richard,4568
8,1963,Steven,3759
9,1963,William,3662
10,1963,Jeffrey,3213
11,1963,Daniel,3131
12,1963,Thomas,2850
13,1963,Scott,2682
14,1963,Kevin,2664
15,1963,Kenneth,2512
16,1963,Gregory,2494
17,1963,Ronald,2422
18,1963,Joseph,2344
19,1963,Christop,2313
20,1963,Paul,2312
21,1963,Timothy,2288
22,1963,Brian,2264
23,1963,Charles,2103
24,1963,Anthony,2063
25,1963,Donald,1851
1,1964,Michael,8899
2,1964,David,7495
3,1964,John,7195
4,1964,Robert,7108
5,1964,James,5946
6,1964,Richard,4368
7,1964,Mark,3978
8,1964,William,3615
9,1964,Steven,3605
10,1964,Daniel,2940
11,1964,Jeffrey,2912
12,1964,Thomas,2733
13,1964,Kevin,2542
14,1964,Kenneth,2464
15,1964,Joseph,2414
16,1964,Paul,2408
17,1964,Scott,2336
18,1964,Christop,2293
18,1964,Timothy,2293
20,1964,Ronald,2225
21,1964,Gregory,2224
22,1964,Brian,2083
23,1964,Anthony,1970
24,1964,Charles,1880
25,1964,Eric,1878
1,1965,Michael,8632
2,1965,David,6816
3,1965,Robert,6352
4,1965,John,6244
5,1965,James,5558
6,1965,Richard,4114
7,1965,Mark,3433
8,1965,Steven,3362
9,1965,William,3158
10,1965,Daniel,2980
11,1965,Jeffrey,2732
12,1965,Christop,2645
13,1965,Thomas,2476
14,1965,Timothy,2431
15,1965,Joseph,2343
16,1965,Kevin,2299
17,1965,Paul,2281
18,1965,Kenneth,2209
19,1965,Brian,2162
20,1965,Eric,2155
21,1965,Scott,2054
22,1965,Ronald,2023
23,1965,Anthony,2017
24,1965,Gregory,1902
25,1965,Charles,1714
1,1966,Michael,8164
2,1966,David,6716
3,1966,Robert,5973
4,1966,John,5619
5,1966,James,5251
6,1966,Richard,3767
7,1966,Steven,3191
8,1966,Mark,3166
9,1966,William,2938
10,1966,Christop,2866
11,1966,Jeffrey,2754
12,1966,Daniel,2688
13,1966,Timothy,2370
14,1966,Brian,2363
15,1966,Paul,2217
16,1966,Thomas,2141
17,1966,Eric,2127
18,1966,Joseph,2112
19,1966,Anthony,2056
20,1966,Scott,2044
21,1966,Kevin,2012
22,1966,Kenneth,1908
23,1966,Ronald,1899
24,1966,Gregory,1708
25,1966,Charles,1612
1,1967,Michael,8588
2,1967,David,6852
3,1967,Robert,5569
4,1967,John,5474
5,1967,James,4889
6,1967,Richard,3680
7,1967,Mark,3130
8,1967,Steven,3053
9,1967,William,2901
10,1967,Christop,2888
11,1967,Daniel,2624
12,1967,Jeffrey,2515
13,1967,Eric,2454
14,1967,Brian,2441
15,1967,Timothy,2325
16,1967,Anthony,2187
17,1967,Scott,2163
18,1967,Paul,2157
19,1967,Joseph,2149
19,1967,Thomas,2149
21,1967,Kevin,2007
22,1967,Kenneth,1778
23,1967,Ronald,1673
24,1967,Gregory,1554
25,1967,Charles,1545
1,1968,Michael,8454
2,1968,David,6405
3,1968,Robert,5909
4,1968,John,5465
5,1968,James,4844
6,1968,Richard,3560
7,1968,Christop,3153
8,1968,Mark,3096
9,1968,Steven,2972
10,1968,William,2867
11,1968,Jeffrey,2698
12,1968,Daniel,2652
13,1968,Brian,2650
14,1968,Eric,2408
15,1968,Scott,2303
16,1968,Timothy,2214
17,1968,Paul,2184
18,1968,Thomas,2129
19,1968,Anthony,2086
20,1968,Joseph,2074
21,1968,Kevin,1957
22,1968,Matthew,1773
23,1968,Kenneth,1691
24,1968,Gregory,1548
25,1968,Charles,1523
1,1969,Michael,8544
2,1969,David,6457
3,1969,Robert,6051
4,1969,John,5167
5,1969,James,4687
6,1969,Christop,3518
7,1969,Richard,3363
8,1969,Steven,2893
9,1969,Mark,2889
10,1969,Brian,2796
11,1969,William,2745
12,1969,Daniel,2711
13,1969,Jeffrey,2689
14,1969,Jason,2619
15,1969,Eric,2615
16,1969,Scott,2372
17,1969,Thomas,2187
18,1969,Anthony,2152
19,1969,Joseph,2135
19,1969,Paul,2135
21,1969,Timothy,1959
22,1969,Matthew,1957
23,1969,Kevin,1873
24,1969,Gregory,1625
25,1969,Charles,1572
1,1970,Michael,8411
2,1970,David,6254
3,1970,Robert,5607
4,1970,John,5022
5,1970,James,4735
6,1970,Christop,3923
7,1970,Jason,3891
8,1970,Richard,3258
9,1970,William,2831
10,1970,Steven,2829
11,1970,Eric,2787
12,1970,Jeffrey,2757
13,1970,Mark,2689
14,1970,Brian,2621
15,1970,Daniel,2612
16,1970,Scott,2332
17,1970,Kevin,2284
18,1970,Joseph,2226
19,1970,Matthew,2146
20,1970,Anthony,2114
21,1970,Thomas,2011
22,1970,Paul,1972
23,1970,Timothy,1787
24,1970,Gregory,1642
25,1970,Charles,1609
1,1971,Michael,7006
2,1971,David,5114
3,1971,Robert,4585
4,1971,John,4220
5,1971,Jason,4200
6,1971,Christop,3996
7,1971,James,3892
8,1971,Richard,2723
9,1971,Daniel,2485
10,1971,Brian,2452
11,1971,Eric,2398
12,1971,William,2387
13,1971,Matthew,2305
14,1971,Steven,2302
15,1971,Scott,2286
16,1971,Jeffrey,2253
17,1971,Mark,2025
18,1971,Kevin,1953
19,1971,Joseph,1945
20,1971,Anthony,1798
21,1971,Thomas,1678
22,1971,Paul,1648
23,1971,Timothy,1486
24,1971,Jose,1364
25,1971,Charles,1318
1,1972,Michael,6476
2,1972,David,4539
3,1972,Christop,4215
4,1972,Jason,3962
5,1972,Robert,3916
6,1972,James,3441
7,1972,John,3432
8,1972,Brian,2897
9,1972,Daniel,2524
10,1972,Richard,2326
11,1972,Eric,2266
12,1972,Matthew,2220
13,1972,William,2011
14,1972,Steven,1925
15,1972,Jeffrey,1903
16,1972,Joseph,1814
17,1972,Mark,1754
18,1972,Scott,1753
19,1972,Anthony,1674
20,1972,Kevin,1568
21,1972,Jose,1514
22,1972,Paul,1438
23,1972,Thomas,1376
24,1972,Timothy,1316
25,1972,Gregory,1178
1,1973,Michael,5960
2,1973,Jason,4360
3,1973,David,4101
4,1973,Christop,3696
5,1973,Robert,3498
6,1973,John,3144
7,1973,James,2977
8,1973,Brian,2798
9,1973,Daniel,2768
10,1973,Matthew,2252
11,1973,Richard,2115
12,1973,Eric,2038
13,1973,William,1840
14,1973,Joseph,1788
15,1973,Jeffrey,1757
16,1973,Mark,1739
17,1973,Steven,1701
18,1973,Jose,1685
19,1973,Anthony,1609
20,1973,Scott,1513
21,1973,Kevin,1399
22,1973,Paul,1298
23,1973,Ryan,1284
24,1973,Joshua,1266
25,1973,Thomas,1251
1,1974,Michael,6159
2,1974,Jason,4765
3,1974,David,4325
4,1974,Christop,3897
5,1974,Robert,3477
6,1974,John,2976
7,1974,Brian,2952
8,1974,Daniel,2942
9,1974,James,2932
10,1974,Matthew,2527
