Rank,Year,Name,Frequency
1,1980,Michael,169
2,1980,Christopher,144
3,1980,Jason,143
4,1980,Matthew,120
5,1980,David,112
6,1980,Andrew,95
7,1980,Daniel,94
8,1980,Joseph,90
9,1980,Robert,89
10,1980,Eric,83
11,1980,Marc,82
12,1980,Adam,81
12,1980,Mark,81
14,1980,Ryan,78
15,1980,Scott,74
16,1980,Kevin,72
17,1980,Justin,71
17,1980,Brian,71
19,1980,James,70
19,1980,Nicholas,70
1,1981,Matthew,166
2,1981,Ryan,141
3,1981,Michael,137
4,1981,Joseph,135
5,1981,Jason,129
6,1981,Christopher,127
7,1981,David,109
8,1981,Daniel,102
9,1981,Jonathan,101
10,1981,Andrew,95
11,1981,James,84
12,1981,Justin,81
13,1981,Eric,78
13,1981,Adam,78
15,1981,Kevin,76
16,1981,Robert,75
17,1981,Marc,72
17,1981,Mathieu,72
19,1981,Jeremy,67
20,1981,Nicholas,65
1,1982,Christopher,171
2,1982,Matthew,164
3,1982,Michael,157
4,1982,Jason,135
5,1982,Joseph,129
6,1982,David,116
7,1982,Jonathan,111
8,1982,Ryan,109
9,1982,Andrew,100
10,1982,Adam,92
11,1982,Robert,80
11,1982,James,80
13,1982,Eric,77
14,1982,Kevin,74
15,1982,Daniel,72
16,1982,John,69
17,1982,Mathieu,68
18,1982,Justin,64
19,1982,Marc,59
19,1982,Jeremy,59
1,1983,Matthew,173
2,1983,Michael,143
3,1983,Christopher,131
4,1983,Joseph,127
5,1983,Ryan,123
6,1983,Jason,112
7,1983,Andrew,103
8,1983,Justin,96
9,1983,David,95
10,1983,Adam,94
11,1983,Jonathan,92
12,1983,Daniel,91
13,1983,Nicholas,82
14,1983,Mathieu,78
15,1983,Kevin,73
16,1983,Eric,70
17,1983,Robert,69
17,1983,James,69
17,1983,Marc,69
17,1983,Mark,69
1,1984,Matthew,165
2,1984,Christopher,151
3,1984,Michael,144
4,1984,Jason,127
5,1984,Joseph,119
6,1984,Andrew,112
7,1984,Joshua,108
8,1984,Ryan,106
9,1984,Daniel,95
10,1984,Adam,94
11,1984,Mathieu,92
12,1984,Justin,89
13,1984,Jonathan,84
14,1984,Nicholas,81
15,1984,Kevin,80
16,1984,David,78
17,1984,Eric,70
18,1984,James,65
19,1984,Jeffrey,64
20,1984,Marc,62
1,1985,Matthew,153
2,1985,Christopher,136
3,1985,Jason,119
4,1985,Michael,112
5,1985,Jonathan,97
6,1985,Ryan,95
7,1985,Joshua,89
8,1985,Joseph,88
9,1985,Daniel,86
10,1985,Adam,84
11,1985,Justin,81
12,1985,Andrew,80
13,1985,James,77
14,1985,Kevin,74
15,1985,David,73
16,1985,Jeffrey,72
16,1985,Mathieu,72
18,1985,Robert,68
19,1985,Eric,66
20,1985,Nicholas,62
1,1986,Christopher,162
2,1986,Matthew,138
3,1986,Michael,129
4,1986,Joshua,105
5,1986,Justin,104
6,1986,Ryan,102
7,1986,Joseph,101
8,1986,Andrew,94
9,1986,Jonathan,91
10,1986,Nicholas,86
10,1986,Daniel,86
12,1986,David,83
12,1986,Jason,83
14,1986,Patrick,74
15,1986,Adam,68
15,1986,Jeremy,68
17,1986,James,67
18,1986,Kevin,66
19,1986,Kyle,65
20,1986,Robert,57
1,1987,Matthew,165
2,1987,Michael,146
3,1987,Ryan,110
3,1987,Andrew,110
5,1987,Christopher,109
6,1987,Justin,90
7,1987,Jonathan,84
8,1987,Joshua,81
8,1987,Patrick,81
10,1987,Jason,79
10,1987,Joseph,79
12,1987,Mathieu,77
13,1987,Scott,75
14,1987,Daniel,74
15,1987,Jeremy,69
16,1987,Adam,66
17,1987,Nicholas,65
18,1987,James,64
19,1987,David,63
20,1987,Kevin,61
1,1988,Matthew,153
2,1988,Michael,131
3,1988,Justin,120
4,1988,Christopher,117
5,1988,Joshua,97
6,1988,Kyle,88
7,1988,Jonathan,84
8,1988,Andrew,81
8,1988,Joseph,81
10,1988,Daniel,79
11,1988,Adam,78
11,1988,Mathieu,78
13,1988,Nicholas,74
13,1988,Jason,74
15,1988,Ryan,69
16,1988,Patrick,68
17,1988,Jeremy,66
18,1988,Eric,60
19,1988,Kevin,57
20,1988,David,56
1,1989,Matthew,154
2,1989,Michael,130
3,1989,Christopher,111
4,1989,Justin,94
5,1989,Andrew,93
6,1989,Joshua,87
7,1989,Jonathan,81
8,1989,Joseph,79
9,1989,Mathieu,78
10,1989,David,76
11,1989,Nicholas,72
11,1989,Ryan,72
13,1989,Kyle,68
14,1989,Daniel,67
15,1989,Adam,63
16,1989,Patrick,61
17,1989,Benjamin,54
18,1989,Kevin,53
18,1989,Eric,53
20,1989,John,51
1,1990,Matthew,114
2,1990,Justin,112
3,1990,Christopher,109
4,1990,Michael,105
5,1990,Joshua,103
6,1990,Ryan,92
7,1990,Andrew,85
8,1990,Nicholas,84
8,1990,Joseph,84
10,1990,Jordan,78
11,1990,Kyle,73
12,1990,Jonathan,71
12,1990,Daniel,71
14,1990,Brandon,69
15,1990,Patrick,66
16,1990,Mathieu,63
17,1990,David,61
18,1990,Jason,59
19,1990,Eric,58
19,1990,Adam,58
19,1990,James,58
1,1991,Matthew,135
2,1991,Michael,117
3,1991,Justin,103
4,1991,Kyle,100
5,1991,Joshua,96
6,1991,Christopher,88
7,1991,Ryan,86
