Rank,Year,Name,Frequency
1,1980,Amanda,199
2,1980,Melissa,162
3,1980,Jennifer,139
4,1980,Julie,100
5,1980,Sarah,79
6,1980,Lisa,77
7,1980,Amy,76
8,1980,Melanie,67
8,1980,Marie,67
10,1980,Michelle,60
11,1980,Angela,55
12,1980,Stephanie,54
13,1980,Tanya,52
14,1980,Erin,51
15,1980,Christine,47
16,1980,Heather,45
17,1980,Nicole,44
18,1980,Annie,43
18,1980,Cindy,43
18,1980,Sylvie,43
1,1981,Melissa,162
2,1981,Jennifer,160
3,1981,Amanda,138
4,1981,Julie,106
5,1981,Marie,101
6,1981,Sarah,98
7,1981,Amy,73
8,1981,Lisa,59
9,1981,Melanie,58
10,1981,Christine,56
11,1981,Stephanie,55
12,1981,Michelle,52
13,1981,Mã‰Lanie,50
14,1981,Angela,48
15,1981,Tanya,46
15,1981,Annie,46
17,1981,Cindy,43
17,1981,Krista,43
19,1981,Erin,42
20,1981,Heather,40
1,1982,Jennifer,174
2,1982,Melissa,137
3,1982,Amanda,126
4,1982,Marie,95
4,1982,Jessica,95
6,1982,Sarah,92
6,1982,Julie,92
8,1982,Melanie,82
9,1982,Amy,71
10,1982,Stephanie,65
11,1982,Crystal,60
12,1982,Angela,53
13,1982,Lisa,50
14,1982,Christine,48
15,1982,Michelle,45
16,1982,Erin,44
17,1982,Nicole,43
18,1982,Nathalie,41
18,1982,Mã‰Lanie,41
20,1982,Sylvie,40
1,1983,Jennifer,145
2,1983,Jessica,121
3,1983,Amanda,119
4,1983,Melissa,116
5,1983,Julie,95
6,1983,Sarah,90
7,1983,Stephanie,86
8,1983,Marie,74
9,1983,Amy,67
10,1983,Ashley,62
11,1983,Crystal,60
12,1983,Lisa,59
13,1983,Nicole,51
14,1983,Erin,50
15,1983,Melanie,48
16,1983,Isabelle,45
16,1983,Mã‰Lanie,45
18,1983,Michelle,43
19,1983,Christine,42
19,1983,Angela,42
1,1984,Jennifer,146
2,1984,Jessica,120
3,1984,Melissa,118
4,1984,Amanda,109
5,1984,Sarah,95
6,1984,Ashley,90
7,1984,Marie,83
8,1984,Stephanie,72
9,1984,Julie,70
10,1984,Laura,66
11,1984,Mã‰Lanie,56
12,1984,Amy,53
13,1984,Nicole,50
14,1984,Melanie,48
15,1984,Lisa,46
16,1984,Michelle,44
16,1984,Christine,44
18,1984,Megan,42
18,1984,Danielle,42
20,1984,Erin,41
1,1985,Jessica,124
2,1985,Jennifer,113
3,1985,Amanda,111
4,1985,Ashley,104
5,1985,Melissa,100
6,1985,Julie,89
7,1985,Sarah,84
8,1985,Stephanie,76
9,1985,Amy,74
10,1985,Laura,68
11,1985,Marie,61
12,1985,Mã‰Lanie,60
13,1985,Megan,52
14,1985,Melanie,49
15,1985,Christine,44
16,1985,Michelle,43
17,1985,Rebecca,41
18,1985,Nicole,40
19,1985,Lindsay,39
20,1985,Vanessa,37
1,1986,Jessica,134
2,1986,Amanda,112
3,1986,Sarah,108
4,1986,Ashley,102
5,1986,Jennifer,98
6,1986,Melissa,88
7,1986,Julie,73
8,1986,Marie,68
9,1986,Laura,59
10,1986,Stephanie,54
11,1986,Nicole,52
11,1986,Megan,52
13,1986,Mã‰Lanie,51
14,1986,Amy,49
15,1986,Brittany,46
16,1986,Michelle,44
17,1986,Rebecca,43
18,1986,Lisa,42
19,1986,Christine,39
20,1986,Natasha,38
1,1987,Jessica,174
2,1987,Ashley,134
