Rank,Year,Name,Frequency
1,1900,Mary,410
2,1900,Margaret,289
3,1900,Annie,239
4,1900,Dorothy,193
5,1900,Florence,192
6,1900,Elizabeth,186
7,1900,Alice,183
8,1900,Gladys,180
9,1900,Doris,177
10,1900,Elsie,166
11,1900,Ivy,159
12,1900,Myrtle,151
13,1900,Ellen,135
14,1900,Jessie,133
14,1900,Violet,133
15,1900,Eileen,132
16,1900,Ethel,127
17,1900,Catherine,126
18,1900,Winifred,121
19,1900,Edith,118
20,1900,Agnes,117
21,1900,Kathleen,116
22,1900,Olive,113
23,1900,Eva,96
24,1900,Irene,94
25,1900,Ruby,88
26,1900,Vera,87
27,1900,Mabel,86
28,1900,Evelyn,83
29,1900,Frances,78
30,1900,Grace,77
31,1900,Muriel,75
32,1900,Ida,74
33,1900,May,70
34,1900,Ada,67
35,1900,Sarah,65
36,1900,Hilda,63
37,1900,Helen,61
38,1900,Rita,60
39,1900,Thelma,59
40,1900,Isabella,53
40,1900,Lucy,53
40,1900,Ruth,53
41,1900,Emily,52
42,1900,Gertrude,51
42,1900,Nellie,51
43,1900,Phyllis,50
44,1900,Lilian,49
45,1900,Hazel,48
45,1900,Jane,48
45,1900,Lillian,48
46,1900,Rose,45
47,1900,Constance,44
47,1900,Edna,44
47,1900,Eleanor,44
48,1900,Beatrice,42
48,1900,Maud,42
49,1900,Marjorie,41
50,1900,Daisy,40
50,1900,Ella,40
50,1900,Emma,40
50,1900,Mona,40
51,1900,Janet,39
51,1900,Martha,39
52,1900,Amy,37
53,1900,Clara,35
54,1900,Flora,34
54,1900,Marion,34
54,1900,Mavis,34
55,1900,Bertha,33
55,1900,Caroline,33
55,1900,Lily,33
56,1900,Esther,32
56,1900,Laura,32
56,1900,Mildred,32
56,1900,Minnie,32
57,1900,Alma,31
57,1900,Christina,31
58,1900,Charlotte,29
59,1900,Eliza,28
59,1900,Eveline,28
59,1900,Iris,28
60,1900,Louisa,27
60,1900,Marjory,27
61,1900,Isabel,26
62,1900,Amelia,25
62,1900,Clarice,25
62,1900,Gwendoline,25
62,1900,Kate,25
62,1900,Maggie,25
63,1900,Aileen,24
63,1900,Freda,24
63,1900,Hannah,24
63,1900,Nora,24
63,1900,Stella,24
64,1900,Linda,23
64,1900,Norah,23
64,1900,Rachel,23
65,1900,Beryl,22
65,1900,Pearl,22
66,1900,Bessie,20
66,1900,Myra,20
67,1900,Blanche,19
67,1900,Jean,19
67,1900,Sylvia,19
68,1900,Barbara,18
68,1900,Fanny,18
69,1900,Lorna,17
70,1900,Ann,16
70,1900,Anna,16
70,1900,Harriet,16
70,1900,Johanna,16
70,1900,Rebecca,16
70,1900,Theresa,16
71,1900,Daphne,15
71,1900,Henrietta,15
71,1900,Olga,15
72,1900,Bridget,14
72,1900,Cecilia,14
72,1900,Madge,14
72,1900,Pretoria,14
72,1900,Veronica,14
73,1900,Dulcie,13
73,1900,Millicent,13
74,1900,Enid,12
74,1900,Ina,12
74,1900,Jeannie,12
74,1900,Josephine,12
74,1900,Julia,12
74,1900,Katherine,12
74,1900,Matilda,12
74,1900,Susan,12
74,1900,Una,12
74,1900,Winnifred,12
75,1900,Lydia,11
75,1900,Maude,11
75,1900,Rhoda,11
75,1900,Victoria,11
75,1900,Vida,11
76,1900,Adelaide,10
76,1900,Audrey,10
76,1900,Effie,10
76,1900,Inez,10
76,1900,Marguerite,10
76,1900,Marie,10
76,1900,Sybil,10
1,1901,Mary,492
2,1901,Margaret,339
3,1901,Annie,241
4,1901,Dorothy,201
5,1901,Elizabeth,198
6,1901,Gladys,194
7,1901,Alice,192
8,1901,Elsie,188
9,1901,Doris,172
10,1901,Florence,165
11,1901,Eileen,159
12,1901,Kathleen,154
13,1901,Ivy,145
14,1901,Myrtle,142
15,1901,Ellen,140
16,1901,Edith,137
17,1901,Jessie,129
18,1901,Ethel,128
19,1901,Olive,125
20,1901,Violet,124
21,1901,Catherine,120
22,1901,Irene,117
23,1901,Vera,112
24,1901,Winifred,111
25,1901,Agnes,105
26,1901,Grace,99
27,1901,Muriel,95
28,1901,Evelyn,91
29,1901,May,88
30,1901,Mabel,87
31,1901,Ruby,83
32,1901,Hilda,78
33,1901,Emily,76
34,1901,Frances,74
35,1901,Ida,73
35,1901,Isabella,73
36,1901,Eva,72
37,1901,Sarah,70
38,1901,Rita,67
39,1901,Edna,66
40,1901,Thelma,63
41,1901,Hazel,62
42,1901,Ada,59
42,1901,Helen,59
43,1901,Constance,56
44,1901,Marion,54
44,1901,Marjorie,54
45,1901,Victoria,53
46,1901,Gertrude,51
46,1901,Jane,51
47,1901,Beatrice,49
48,1901,Rose,46
49,1901,Amy,45
49,1901,Lilian,45
50,1901,Alma,44
51,1901,Lillian,43
52,1901,Daisy,42
52,1901,Phyllis,42
53,1901,Isabel,40
53,1901,Janet,40
54,1901,Flora,39
54,1901,Louisa,39
54,1901,Lucy,39
54,1901,Minnie,39
55,1901,Ella,37
56,1901,Charlotte,36
56,1901,Lily,36
56,1901,Marjory,36
56,1901,Mavis,36
57,1901,Emma,35
57,1901,Iris,35
58,1901,Nellie,34
58,1901,Ruth,34
59,1901,Martha,33
59,1901,Mona,33
60,1901,Christina,32
61,1901,Freda,31
62,1901,Clarice,30
62,1901,Jean,30
63,1901,Laura,29
64,1901,Esther,28
64,1901,Gwendoline,28
65,1901,Bertha,27
65,1901,Stella,27
66,1901,Amelia,26
66,1901,Maud,26
66,1901,Myra,26
67,1901,Harriet,25
68,1901,Bessie,24
68,1901,Clara,24
68,1901,Nora,24
68,1901,Pearl,24
69,1901,Dora,23
70,1901,Enid,22
70,1901,Kate,22
71,1901,Caroline,20
71,1901,Julia,20
71,1901,Linda,20
71,1901,Veronica,20
72,1901,Aileen,19
72,1901,Eliza,19
72,1901,Norah,19
73,1901,Doreen,18
73,1901,Lorna,18
73,1901,Maggie,18
73,1901,Mildred,18
73,1901,Reta,18
74,1901,Henrietta,17
75,1901,Cecilia,16
75,1901,Dulcie,16
75,1901,Eleanor,16
75,1901,Eveline,16
75,1901,Hannah,16
75,1901,Joyce,16
75,1901,Katherine,16
75,1901,Miriam,16
75,1901,Winnifred,16
76,1901,Ina,15
76,1901,Monica,15
76,1901,Sybil,15
77,1901,Ann,14
77,1901,Beryl,14
77,1901,Eunice,14
77,1901,Fanny,14
77,1901,Johanna,14
77,1901,Josephine,14
77,1901,Lena,14
77,1901,Sylvia,14
78,1901,Adelaide,13
78,1901,Barbara,13
78,1901,Theresa,13
79,1901,Anna,12
79,1901,Blanche,12
79,1901,Lydia,12
79,1901,Nancy,12
79,1901,Norma,12
79,1901,Rona,12
80,1901,Joan,11
80,1901,Madeline,11
80,1901,Matilda,11
80,1901,Queenie,11
80,1901,Rubina,11
80,1901,Wilhelmina,11
81,1901,Alexandra,10
81,1901,Elma,10
81,1901,Euphemia,10
81,1901,Jeanie,10
81,1901,Lilly,10
81,1901,Marguerite,10
81,1901,Una,10
81,1901,Vida,10
1,1902,Mary,464
2,1902,Margaret,299
3,1902,Dorothy,223
4,1902,Annie,221
5,1902,Gladys,203
6,1902,Alice,202
7,1902,Doris,195
7,1902,Elizabeth,195
8,1902,Florence,194
9,1902,Elsie,176
10,1902,Eileen,175
11,1902,Myrtle,153
12,1902,Violet,143
13,1902,Ethel,141
14,1902,Jessie,138
15,1902,Edith,137
16,1902,Catherine,135
16,1902,Ivy,135
17,1902,Kathleen,134
18,1902,Olive,132
19,1902,Ellen,130
20,1902,Vera,115
21,1902,Agnes,113
21,1902,Irene,113
22,1902,Mabel,105
23,1902,Muriel,94
24,1902,Grace,91
25,1902,Ruby,89
26,1902,Evelyn,85
27,1902,Winifred,82
28,1902,Hilda,81
29,1902,Isabella,80
30,1902,Eva,78
31,1902,Rita,76
32,1902,Frances,74
33,1902,Edna,73
34,1902,Emily,72
34,1902,Helen,72
34,1902,Thelma,72
35,1902,Ada,64
36,1902,Sarah,62
37,1902,May,61
38,1902,Hazel,55
39,1902,Christina,52
40,1902,Ida,51
41,1902,Lucy,49
42,1902,Amy,47
42,1902,Rose,47
43,1902,Ruth,46
44,1902,Constance,45
44,1902,Gertrude,45
44,1902,Janet,45
45,1902,Beatrice,44
45,1902,Bertha,44
45,1902,Jane,44
45,1902,Phyllis,44
46,1902,Clara,43
46,1902,Lilian,43
46,1902,Lily,43
46,1902,Marion,43
46,1902,Nellie,43
47,1902,Louisa,42
47,1902,Mona,42
48,1902,Alma,39
49,1902,Iris,38
50,1902,Gwendoline,37
50,1902,Marjorie,37
51,1902,Ella,35
51,1902,Mavis,35
52,1902,Daisy,34
52,1902,Isabel,34
52,1902,Lillian,34
53,1902,Maud,33
54,1902,Emma,32
54,1902,Flora,32
54,1902,Pearl,32
55,1902,Esther,31
56,1902,Laura,30
56,1902,Marjory,30
57,1902,Eleanor,29
57,1902,Jean,29
58,1902,Charlotte,27
58,1902,Clarice,27
58,1902,Veronica,27
59,1902,Martha,26
60,1902,Amelia,25
60,1902,Barbara,25
61,1902,Alexandra,24
61,1902,Bessie,24
61,1902,Doreen,24
61,1902,Norah,24
62,1902,Linda,23
63,1902,Hannah,22
63,1902,Stella,22
64,1902,Dora,21
64,1902,Eliza,21
64,1902,Fanny,21
64,1902,Henrietta,21
64,1902,Myra,21
64,1902,Nancy,21
65,1902,Minnie,20
66,1902,Eveline,19
66,1902,Freda,19
66,1902,Sylvia,19
67,1902,Caroline,18
67,1902,Enid,18
67,1902,Eunice,18
67,1902,Lorna,18
67,1902,Nina,18
68,1902,Dulcie,17
68,1902,Kate,17
68,1902,Katherine,17
68,1902,Mildred,17
68,1902,Nora,17
69,1902,Adelaide,16
69,1902,Beryl,16
69,1902,Marie,16
69,1902,Matilda,16
70,1902,Julia,15
70,1902,Una,15
71,1902,Aileen,14
71,1902,Daphne,14
71,1902,Georgina,14
71,1902,Harriet,14
71,1902,Helena,14
71,1902,Maude,14
71,1902,Reta,14
71,1902,Robina,14
71,1902,Victoria,14
72,1902,Cora,13
72,1902,Effie,13
72,1902,Josephine,13
72,1902,Madge,13
72,1902,Millicent,13
72,1902,Rachel,13
73,1902,Ina,12
73,1902,Katie,12
73,1902,Lena,12
73,1902,Lilly,12
73,1902,Lydia,12
73,1902,Maggie,12
73,1902,Marguerite,12
73,1902,Rosa,12
74,1902,Avis,11
74,1902,Joyce,11
74,1902,Lavinia,11
74,1902,Norma,11
74,1902,Susan,11
75,1902,Ann,10
75,1902,Leila,10
75,1902,Nita,10
75,1902,Rhoda,10
75,1902,Sybil,10
1,1903,Mary,452
2,1903,Margaret,293
3,1903,Annie,229
4,1903,Dorothy,226
5,1903,Alice,204
6,1903,Florence,193
7,1903,Elsie,191
8,1903,Doris,183
9,1903,Ivy,178
10,1903,Elizabeth,173
11,1903,Jessie,168
12,1903,Gladys,163
13,1903,Ethel,161
14,1903,Violet,153
15,1903,Eileen,148
16,1903,Kathleen,144
17,1903,Myrtle,142
18,1903,Olive,132
19,1903,Agnes,131
19,1903,Ellen,131
20,1903,Edith,128
21,1903,Vera,122
22,1903,Catherine,118
23,1903,Irene,116
24,1903,Edna,112
25,1903,Evelyn,104
26,1903,Mabel,99
26,1903,Ruby,99
26,1903,Winifred,99
27,1903,Thelma,95
28,1903,Hilda,86
29,1903,Emily,84
29,1903,Grace,84
30,1903,Eva,83
30,1903,Muriel,83
30,1903,Rita,83
31,1903,Phyllis,80
32,1903,Ada,79
32,1903,Frances,79
33,1903,Mavis,75
34,1903,Hazel,73
35,1903,Helen,68
36,1903,May,66
37,1903,Ida,64
38,1903,Lilian,63
38,1903,Marjorie,63
39,1903,Isabella,61
40,1903,Constance,57
41,1903,Sarah,56
42,1903,Gertrude,54
43,1903,Jane,52
44,1903,Amy,51
44,1903,Lillian,51
45,1903,Lucy,50
46,1903,Mona,49
46,1903,Nellie,49
47,1903,Marion,48
48,1903,Christina,47
49,1903,Gwendoline,46
49,1903,Rose,46
50,1903,Beatrice,45
51,1903,Alma,44
51,1903,Ruth,44
52,1903,Bertha,40
52,1903,Emma,40
52,1903,Iris,40
53,1903,Jean,39
54,1903,Clara,38
54,1903,Minnie,38
55,1903,Janet,37
55,1903,Louisa,37
56,1903,Lily,36
57,1903,Ella,35
57,1903,Maud,35
58,1903,Pearl,34
59,1903,Daisy,32
59,1903,Eleanor,32
59,1903,Esther,32
60,1903,Laura,30
