Rank,Year,Name,Frequency
1,1900,William,753
2,1900,John,636
3,1900,James,437
4,1900,George,387
5,1900,Charles,326
6,1900,Thomas,309
7,1900,Robert,299
8,1900,Arthur,255
9,1900,Frederick,211
10,1900,Henry,206
11,1900,Albert,196
12,1900,Alfred,181
13,1900,Harold,169
14,1900,Leslie,166
15,1900,Edward,158
16,1900,Walter,154
17,1900,Ernest,152
18,1900,Francis,149
19,1900,Herbert,127
20,1900,Cecil,124
21,1900,Leonard,119
22,1900,Norman,112
23,1900,Joseph,110
24,1900,David,106
25,1900,Eric,105
26,1900,Frank,102
27,1900,Alexander,101
28,1900,Gordon,97
29,1900,Cyril,96
30,1900,Stanley,95
31,1900,Richard,94
32,1900,Hector,90
33,1900,Percy,77
34,1900,Reginald,67
35,1900,Douglas,61
35,1900,Roy,61
36,1900,Allan,60
37,1900,Harry,58
38,1900,Clarence,55
39,1900,Andrew,53
40,1900,Donald,48
40,1900,Kenneth,48
41,1900,Ronald,47
41,1900,Samuel,47
41,1900,Victor,47
42,1900,Hugh,45
43,1900,Patrick,44
43,1900,Raymond,44
44,1900,Edwin,41
44,1900,Sydney,41
45,1900,Baden,38
45,1900,Wilfred,38
46,1900,Horace,37
46,1900,Peter,37
47,1900,Alan,35
47,1900,Clifford,35
48,1900,Claude,33
49,1900,Archibald,32
49,1900,Jack,32
50,1900,Michael,31
51,1900,Bernard,30
51,1900,Lawrence,30
52,1900,Maurice,29
53,1900,Gilbert,28
54,1900,Daniel,27
54,1900,Louis,27
55,1900,Colin,26
55,1900,Ian,26
56,1900,Geoffrey,25
56,1900,Keith,25
56,1900,Laurence,25
56,1900,Leo,25
56,1900,Philip,25
56,1900,Ralph,25
57,1900,Edgar,24
58,1900,Sidney,23
59,1900,Arnold,22
60,1900,Bertie,21
60,1900,Malcolm,21
61,1900,Lionel,20
61,1900,Redvers,20
62,1900,Percival,19
62,1900,Roland,19
63,1900,Gerald,18
64,1900,Allen,17
64,1900,Angus,17
64,1900,Basil,17
65,1900,Robin,16
66,1900,Ivan,15
66,1900,Lewis,15
66,1900,Stephen,15
67,1900,Edmund,14
67,1900,Hubert,14
67,1900,Noel,14
67,1900,Vernon,14
67,1900,Wallace,14
68,1900,Benjamin,13
68,1900,Dudley,13
68,1900,Fred,13
68,1900,Nelson,13
68,1900,Oliver,13
69,1900,Martin,12
69,1900,Owen,12
69,1900,Vincent,12
70,1900,Anthony,11
70,1900,Bruce,11
70,1900,Christopher,11
70,1900,Oscar,11
70,1900,Stewart,11
70,1900,Stuart,11
71,1900,Carl,10
71,1900,Clement,10
71,1900,Duncan,10
71,1900,Frederic,10
71,1900,Howard,10
71,1900,Matthew,10
71,1900,Oswald,10
71,1900,Rupert,10
71,1900,Timothy,10
1,1901,William,793
2,1901,John,685
3,1901,George,437
4,1901,James,418
5,1901,Charles,343
6,1901,Robert,291
7,1901,Thomas,284
8,1901,Arthur,269
9,1901,Albert,251
10,1901,Edward,232
11,1901,Frederick,216
12,1901,Henry,188
13,1901,Alfred,184
14,1901,Ernest,159
15,1901,Alexander,153
16,1901,Leslie,148
17,1901,Francis,147
18,1901,Harold,146
19,1901,Eric,145
20,1901,Walter,135
21,1901,David,124
22,1901,Herbert,120
23,1901,Joseph,118
24,1901,Frank,114
25,1901,Norman,111
26,1901,Leonard,107
27,1901,Gordon,106
28,1901,Richard,104
29,1901,Stanley,100
30,1901,Cecil,84
31,1901,Hector,82
32,1901,Reginald,80
33,1901,Clarence,73
34,1901,Harry,72
35,1901,Cyril,69
36,1901,Percy,68
37,1901,Roy,65
38,1901,Donald,64
38,1901,Douglas,64
39,1901,Andrew,60
39,1901,Ronald,60
40,1901,Kenneth,58
41,1901,Hugh,57
42,1901,Allan,56
43,1901,Sydney,52
43,1901,Victor,52
44,1901,Samuel,51
45,1901,Jack,47
46,1901,Patrick,46
46,1901,Wilfred,46
47,1901,Claude,41
47,1901,Horace,41
48,1901,Archibald,39
49,1901,Raymond,34
50,1901,Edwin,33
50,1901,Lawrence,33
50,1901,Maurice,33
51,1901,Peter,32
52,1901,Ivan,30
53,1901,Colin,29
53,1901,Gilbert,29
53,1901,Ralph,29
54,1901,Alan,28
54,1901,Arnold,28
54,1901,Daniel,28
54,1901,Leo,28
55,1901,Ian,27
55,1901,Philip,27
56,1901,Lionel,26
56,1901,Louis,26
56,1901,Michael,26
57,1901,Bernard,25
57,1901,Sidney,25
58,1901,Geoffrey,23
59,1901,Vincent,21
60,1901,Edgar,20
61,1901,Clifford,19
62,1901,Howard,18
62,1901,Malcolm,18
63,1901,Hubert,17
63,1901,Lewis,17
63,1901,Martin,17
64,1901,Angus,16
65,1901,Percival,15
65,1901,Roland,15
65,1901,Vivian,15
66,1901,Bertie,14
66,1901,Cedric,14
66,1901,Stephen,14
67,1901,Noel,13
67,1901,Oswald,13
67,1901,Stuart,13
68,1901,Allen,12
68,1901,Keith,12
68,1901,Laurence,12
68,1901,Mark,12
68,1901,Roderick,12
69,1901,Adam,11
69,1901,Benjamin,11
69,1901,Bertram,11
69,1901,Gerald,11
69,1901,Matthew,11
69,1901,Rupert,11
69,1901,Stewart,11
70,1901,Archie,10
70,1901,Basil,10
70,1901,Claud,10
70,1901,Clive,10
70,1901,Mervyn,10
70,1901,Trevor,10
70,1901,Wallace,10
1,1902,William,871
2,1902,John,735
3,1902,James,447
4,1902,George,423
5,1902,Charles,345
6,1902,Robert,307
7,1902,Thomas,281
8,1902,Albert,275
9,1902,Arthur,256
10,1902,Edward,240
11,1902,Frederick,218
12,1902,Henry,183
13,1902,Alfred,174
14,1902,Leslie,165
15,1902,Francis,158
16,1902,Joseph,148
17,1902,Walter,137
18,1902,David,133
19,1902,Eric,132
20,1902,Harold,129
21,1902,Cecil,126
22,1902,Herbert,125
23,1902,Ernest,123
24,1902,Alexander,114
25,1902,Norman,112
26,1902,Leonard,106
27,1902,Hector,101
28,1902,Richard,100
29,1902,Frank,96
30,1902,Percy,89
31,1902,Stanley,88
32,1902,Gordon,86
33,1902,Reginald,85
34,1902,Cyril,77
35,1902,Samuel,69
36,1902,Clarence,68
37,1902,Roy,67
38,1902,Allan,65
38,1902,Victor,65
39,1902,Ronald,64
40,1902,Hugh,63
41,1902,Douglas,62
42,1902,Sydney,60
43,1902,Harry,58
44,1902,Donald,56
45,1902,Andrew,55
46,1902,Jack,52
46,1902,Kenneth,52
47,1902,Maurice,49
48,1902,Raymond,48
49,1902,Edwin,46
50,1902,Wilfred,42
51,1902,Horace,39
51,1902,Lawrence,39
52,1902,Patrick,35
53,1902,Alan,33
53,1902,Philip,33
54,1902,Michael,32
55,1902,Daniel,30
55,1902,Ian,30
56,1902,Colin,29
56,1902,Peter,29
57,1902,Archibald,28
57,1902,Gilbert,28
58,1902,Clifford,26
58,1902,Louis,26
59,1902,Ivan,25
60,1902,Leo,24
60,1902,Percival,24
61,1902,Edmund,23
61,1902,Laurence,23
61,1902,Malcolm,23
61,1902,Ralph,23
61,1902,Sidney,23
62,1902,Claude,22
62,1902,Gerald,22
62,1902,Howard,22
62,1902,Lionel,22
63,1902,Keith,21
63,1902,Noel,21
64,1902,Arnold,19
64,1902,Edgar,19
64,1902,Stephen,19
65,1902,Duncan,18
65,1902,Geoffrey,18
66,1902,Bernard,17
66,1902,Roland,17
67,1902,Bertie,16
67,1902,Vincent,16
68,1902,Guy,15
68,1902,Martin,15
69,1902,Angus,14
69,1902,Lewis,14
69,1902,Matthew,14
69,1902,Trevor,14
69,1902,Vernon,14
69,1902,Wallace,14
70,1902,Athol,13
70,1902,Oliver,13
71,1902,Archie,12
71,1902,Phillip,12
72,1902,Allen,11
72,1902,Basil,11
72,1902,Christopher,11
72,1902,Mervyn,11
72,1902,Stuart,11
73,1902,Adam,10
73,1902,Bruce,10
73,1902,Cedric,10
73,1902,Dudley,10
73,1902,Fred,10
73,1902,Nelson,10
73,1902,Oscar,10
73,1902,Owen,10
73,1902,Russell,10
73,1902,Vivian,10
1,1903,William,882
2,1903,John,731
3,1903,James,464
4,1903,George,404
5,1903,Thomas,328
6,1903,Robert,322
7,1903,Charles,318
8,1903,Arthur,269
9,1903,Albert,234
10,1903,Edward,225
11,1903,Henry,201
12,1903,Leslie,194
13,1903,Frederick,185
14,1903,Eric,164
15,1903,Harold,161
16,1903,Ernest,158
17,1903,Francis,157
18,1903,Walter,155
19,1903,Alfred,143
20,1903,Joseph,141
21,1903,Alexander,138
21,1903,David,138
22,1903,Leonard,133
23,1903,Herbert,126
24,1903,Norman,113
25,1903,Frank,110
26,1903,Stanley,108
27,1903,Gordon,104
28,1903,Richard,102
29,1903,Cecil,98
30,1903,Reginald,93
31,1903,Ronald,87
32,1903,Cyril,85
33,1903,Kenneth,78
34,1903,Allan,76
35,1903,Percy,75
36,1903,Harry,73
36,1903,Raymond,73
37,1903,Hector,72
38,1903,Roy,71
39,1903,Donald,70
40,1903,Clarence,68
41,1903,Hugh,59
42,1903,Samuel,57
43,1903,Andrew,56
44,1903,Douglas,55
45,1903,Jack,54
45,1903,Lawrence,54
46,1903,Sydney,53
46,1903,Victor,53
47,1903,Wilfred,47
48,1903,Edwin,46
49,1903,Horace,41
50,1903,Alan,40
50,1903,Claude,40
50,1903,Peter,40
51,1903,Maurice,37
52,1903,Ivan,36
52,1903,Philip,36
53,1903,Bernard,35
53,1903,Keith,35
53,1903,Lionel,35
54,1903,Archibald,34
54,1903,Leo,34
55,1903,Colin,33
56,1903,Daniel,32
57,1903,Patrick,31
58,1903,Ian,30
58,1903,Michael,30
59,1903,Clifford,29
60,1903,Gilbert,27
61,1903,Arnold,26
62,1903,Basil,24
62,1903,Geoffrey,24
62,1903,Malcolm,24
63,1903,Edgar,23
63,1903,Owen,23
63,1903,Percival,23
63,1903,Ralph,23
64,1903,Benjamin,21
65,1903,Lewis,20
66,1903,Laurence,19
66,1903,Martin,19
66,1903,Neil,19
66,1903,Sidney,19
66,1903,Stephen,19
67,1903,Howard,18
67,1903,Louis,18
68,1903,Allen,16
68,1903,Noel,16
68,1903,Trevor,16
69,1903,Claud,15
69,1903,Clement,15
69,1903,Roland,15
70,1903,Bertie,14
70,1903,Clive,14
70,1903,Edmund,14
70,1903,Fred,14
