Rank,Year,Name,Frequency
1,2013,Emma,-1
2,2013,Sofia/Sophia,-1
3,2013,Ava/Avah,-1
4,2013,Emilee/Emily,-1
5,2013,Lily/Lilly/Lillie,-1
6,2013,Averee/Averie/Avery/Avierie,-1
7,2013,Chloe/Khloe,-1
8,2013,Olivia,-1
9,2013,Hailee/Hailey/Hailie/Haylee/Hayley/Hayleigh,-1
10,2013,Sarah/Sara,-1
11,2013,Sofie/Sophie,-1
12,2013,Payton/Peyton,-1
13,2013,Abigail/Abigale,-1
14,2013,Ella,-1
15,2013,Alley/Allie/Ally,-1
16,2013,Brooklyn/Brooklynn,-1
17,2013,Madison,-1
18,2013,Anna,-1
19,2013,Lauren,-1
20,2013,Addison/Addyson,-1
21,2013,Charlee/Charlei/Charleigh/Charley/Charlie,-1
22,2013,Charlotte,-1
23,2013,Paige,-1
24,2013,Georgia/Georgea/Jorja,-1
25,2013,Grace,-1
26,2013,Isabella,-1
27,2013,Hanna/Hannah,-1
28,2013,Kaylee/Kayleigh,-1
29,2013,Kyelee/Kylee/Kylie/Kyleigh,-1
30,2013,Leah,-1
31,2013,Lexi/Lexie,-1
32,2013,Alexis,-1
33,2013,Kate,-1
34,2013,Rachael/Rachel,-1
35,2013,Gracie,-1
36,2013,Mia/Myah,-1
37,2013,Nevaeh,-1
38,2013,Calleigh/Callie,-1
39,2013,Elle,-1
40,2013,Mackenzie/Mckenzie/Makenzie,-1
41,2013,Carley/Carly/Karlee,-1
42,2013,Kaitlyn/Kaitlynn/Katelyn/Katelin/Katelynn/Kate-Lynn,-1
43,2013,Lila/Lilah,-1
44,2013,Mia,-1
45,2013,Mollie/Molly,-1
46,2013,Zoe/Zoey,-1
47,2013,Amelia,-1
48,2013,Bella,-1
49,2013,Elizabeth,-1
50,2013,Lucy,-1
51,2013,Lydia,-1
52,2013,Natalie,-1
53,2013,Faith,-1
54,2013,Quin/Quinn,-1
55,2013,Sadie,-1
56,2013,Savanna/Savannah,-1
57,2013,Aaliyah/Aliyah,-1
58,2013,Autumn,-1
59,2013,Brianna,-1
60,2013,Katie,-1
61,2013,Amber/Ambyr,-1
62,2013,Annabel/Annabell/Annabelle/Anna-Belle,-1
63,2013,Ariana/Arianna/Aryanna,-1
64,2013,Bridget/Bridgette,-1
65,2013,Julia,-1
66,2013,Macey/Maci/Macie,-1
67,2013,Makenna/Mckenna,-1
68,2013,Maria,-1
69,2013,Riley/Rylee,-1
70,2013,Scarlett/Scarlette,-1
71,2013,Violet,-1
72,2013,Alice,-1
73,2013,Brooke,-1
74,2013,Clara,-1
75,2013,Gemma,-1
76,2013,Heidi,-1
77,2013,Keira,-1
78,2013,Penelope,-1
79,2013,Abbie/Abby,-1
80,2013,Aria/Ariah,-1
81,2013,Audrey,-1
82,2013,Isla,-1
83,2013,Jane,-1
84,2013,Nora/Norah,-1
85,2013,Skylar/Skyler,-1
86,2013,Summer,-1
87,2013,Sydney,-1
88,2013,Taylor,-1
89,2013,Tori,-1
90,2013,Aimee/Aimie/Amy,-1
91,2013,Alana/Alanna,-1
92,2013,Alyssa,-1
93,2013,Ariel/Arielle,-1
94,2013,Bailey/Baylee/Baleigh,-1
95,2013,Chelsea,-1
96,2013,Destiny/Destiney,-1
97,2013,Jenna,-1
98,2013,Juliana/Julianna,-1
99,2013,Layla/Laylah,-1
100,2013,Madelyn,-1
1,2014,Olivia,-1
2,2014,Emma,-1
3,2014,Lily/Lilly/Lillie,-1
4,2014,Ava/Avah,-1
5,2014,Averee/Averie/Avery/Avierie,-1
6,2014,Ella,-1
7,2014,Emilee/Emily,-1
8,2014,Chloe/Khloe,-1
9,2014,Madison,-1
10,2014,Sadie,-1
11,2014,Charlee/Charlei/Charleigh/Charley/Charlie,-1
12,2014,Abigail/Abigale,-1
13,2014,Sofia/Sophia,-1
14,2014,Alexis,-1
15,2014,Addison/Addyson,-1
16,2014,Zoe/Zoey,-1
17,2014,Hailee/Hailey/Hailie/Haylee/Hayley/Hayleigh,-1
18,2014,Madelyn,-1
19,2014,Brooke,-1
20,2014,Charlotte,-1
21,2014,Claire/Clare,-1
22,2014,Anna,-1
23,2014,Brooklyn/Brooklynn,-1
24,2014,Calleigh/Callie,-1
25,2014,Leah,-1
26,2014,Natalie,-1
27,2014,Sarah/Sara,-1
28,2014,Nevaeh,-1
29,2014,Quin/Quinn,-1
30,2014,Sofie/Sophie,-1
31,2014,Grace,-1
32,2014,Lila/Lilah/Lyla/Lylah,-1
33,2014,Paige,-1
34,2014,Payton/Peyton,-1
35,2014,Rachael/Rachel,-1
36,2014,Hanna/Hannah,-1
37,2014,Kyelee/Kylee/Kylie/Kyleigh,-1
38,2014,Skylar/Skyler,-1
39,2014,Alley/Allie/Ally,-1
40,2014,Julia,-1
41,2014,Kaylee/Kayleigh,-1
42,2014,Lauren,-1
43,2014,Nora/Norah,-1
44,2014,Amelia,-1
45,2014,Isabella,-1
46,2014,Kate,-1
47,2014,Katie,-1
48,2014,Macey/Maci/Macie,-1
49,2014,Mackenzie/Mckenzie/Makenzie,-1
50,2014,Savanna/Savannah,-1
51,2014,Gracie,-1
52,2014,Mia,-1
53,2014,Aaliyah/Aliyah,-1
54,2014,Alyssa,-1
55,2014,Aria/Ariah,-1
56,2014,Carley/Carly/Karlee,-1
57,2014,Georgia/Georgea/Jorja,-1
58,2014,Layla/Laylah,-1
59,2014,Lucy,-1
60,2014,Katherine/Kathryn,-1
61,2014,Paislee/Paisley,-1
62,2014,Victoria,-1
63,2014,Elizabeth,-1
64,2014,Isla,-1
65,2014,Lexi/Lexie,-1
66,2014,Lydia,-1
67,2014,Mia/Myah,-1
68,2014,Taylor,-1
69,2014,Aubree/Aubrey/Aubrie,-1
70,2014,Ellie,-1
71,2014,Lillian,-1
72,2014,Mila,-1
73,2014,Ariana/Arianna/Aryanna,-1
74,2014,Autumn,-1
75,2014,Jane,-1
76,2014,Kaitlyn/Kaitlynn/Katelyn/Katelin/Katelynn/Kate-Lynn,-1
77,2014,Summer,-1
78,2014,Jada/Jayda,-1
79,2014,Rebecca/Rebekah,-1
80,2014,Annabel/Annabell/Annabelle/Anna-Belle,-1
81,2014,Gemma,-1
82,2014,Keira,-1
83,2014,Maria,-1
84,2014,Riley/Rylee,-1
85,2014,Alexa/Alexah,-1
86,2014,Kinsley,-1
87,2014,Abbie/Abby,-1
88,2014,Faith,-1
89,2014,Makenna/Mckenna,-1
90,2014,Scarlett/Scarlette,-1
91,2014,Sydney,-1
92,2014,Evelyn,-1
93,2014,Kennedi/Kennedy,-1
94,2014,Samantha,-1
95,2014,Willow,-1
96,2014,Amber/Ambyr,-1
97,2014,Ariel/Arielle,-1
98,2014,Bella,-1
99,2014,Brianna,-1
100,2014,Bridget/Bridgette,-1
1,2015,Emma,-1
2,2015,Averie/Avery,-1
3,2015,Sofia/Sophia,-1
4,2015,Charlotte,-1
5,2015,Lily/Lilly/Lillie,-1
6,2015,Mia/Miah/Mya/Myah,-1
7,2015,Avah/Ava,-1
8,2015,Anna/Ana,-1
9,2015,Olivia/Olivea,-1
10,2015,Chloe/Khloe,-1
11,2015,Ella,-1
12,2015,Emilie/Emily/Emmalee,-1
13,2015,Nora/Norah,-1
14,2015,Leah/Leia,-1
15,2015,Sadey/Sadie,-1
16,2015,Sara/Sarah,-1
17,2015,Paige,-1
18,2015,Claire,-1
19,2015,Zoe/Zoey,-1
20,2015,Amelia/Ameliah/Amilia/Emilia,-1
21,2015,Calee/Caleigh/Cali/Calleigh/Callie/Kallie/Kali/Kalleigh,-1
22,2015,Grace,-1
23,2015,Kaylee/Kayleigh/Kayley/Kaylie/Kailee,-1
24,2015,Kendall/Kendell/Kendyl,-1
25,2015,Payton/Peyton,-1
26,2015,Abagail/Abbigail/Abigale/Abigail,-1
27,2015,Brooklyn/Brooklynn,-1
28,2015,Kylee/Kyleigh/Kylie,-1
29,2015,Rachel/Rachael,-1
30,2015,Addison/Addysen,-1
31,2015,Hailee/Hailey/Haleigh/Hayleigh/Hayley/Hayley,-1
32,2015,Isabella/Izabella,-1
33,2015,Lexi/Lexie,-1
34,2015,Macey/Maci/Macie/Macy,-1
35,2015,Allie/Ally/Aly,-1
36,2015,Hana/Hannah,-1
37,2015,Isla,-1
38,2015,Layla/Lela,-1
39,2015,Maddison/Maddisyn/Madison/Madisyn,-1
40,2015,Quin/Quinn,-1
41,2015,Sofie/Sofia,-1
42,2015,Aria/Ariyah/Arya,-1
43,2015,Charlee/Charleigh/Charley/Charli/Charlie,-1
44,2015,Georgia/Jorja,-1
45,2015,Julia,-1
46,2015,Katie,-1
47,2015,Lila/Lilah/Lyla,-1
48,2015,Lucy,-1
49,2015,Paislee/Paisleigh/Paisley,-1
50,2015,Scarlet/Scarlett/Scarlotte,-1
51,2015,Alexis,-1
52,2015,Ellie,-1
53,2015,Evelyn,-1
54,2015,Kate,-1
55,2015,Lauren,-1
56,2015,Maria,-1
57,2015,Skylar/Skyler,-1
58,2015,Catherine/Katherine/Kathryn,-1
59,2015,Gracie,-1
60,2015,Nevaeh,-1
61,2015,Taylor,-1
62,2015,Adalyn/Addilyn/Adelyn/Adelynn,-1
63,2015,Aubree/Aubrey,-1
64,2015,Lydia,-1
65,2015,Penelope,-1
66,2015,Rebecca/Rebekah,-1
67,2015,Savannah,-1
68,2015,Cassidy/Kassidy,-1
69,2015,Eva,-1
70,2015,Harper,-1
71,2015,Mackenzie/Makenzie/Mckenzie,-1
72,2015,Madalyn/Madelyn,-1
73,2015,Maggie,-1
74,2015,Ryleigh/Rylie/Riley,-1
75,2015,Violet,-1
76,2015,Audrey,-1
77,2015,Bailee/Bailey/Baylee,-1
78,2015,Carlee/Carleigh/Carley/Carlie/Carly/Karlee,-1
79,2015,Clara,-1
80,2015,Natalie/Nathalie,-1
81,2015,Shelby,-1
82,2015,Stella ,-1
83,2015,Willow,-1
84,2015,Alaina/Alayna,-1
85,2015,Allison,-1
86,2015,Alysa/Alyssa,-1
87,2015,Ariana/Arianna,-1
88,2015,Brianna,-1
89,2015,Elizabeth,-1
90,2015,Isabelle,-1
91,2015,Ivie/Ivy,-1
92,2015,Jenna/Jena,-1
93,2015,Jordan/Jordyn,-1
94,2015,Kenzi/Kenzie,-1
95,2015,Lilian/Lillian,-1
96,2015,Autum/Autumn,-1
97,2015,Bria/Briea,-1
98,2015,Brielle,-1
99,2015,Delilah,-1
100,2015,Faith,-1
1,2016,Emma,-1
2,2016,Avary/Avery,-1
3,2016,Charlotte,-1
4,2016,Olivia,-1
5,2016,Addison/Addyson,-1
6,2016,Scarlett,-1
7,2016,Abbigail/Abigail/Abigale,-1
8,2016,Anna,-1
9,2016,Cali/Callie/Kali/Kallee/Kallie,-1
10,2016,Emilee/Emily,-1
11,2016,Amelia/Emelia/Emilia,-1
12,2016,Ava/Avah,-1
13,2016,Clare/Claire,-1
14,2016,Nora/Norah,-1
15,2016,Kate,-1
16,2016,Sofia/Sophia,-1
17,2016,Hana/Hanna/Hannah,-1
18,2016,Lily/Lilly,-1
19,2016,Isabella/Izabella,-1
20,2016,Sadie,-1
21,2016,Lea/Leah/Leia/Leiyah/Lia/Leya,-1
22,2016,Payton/Peyton,-1
23,2016,Sofie/Sophie,-1
24,2016,Charlee/Charleigh/Charley/Charlie,-1
25,2016,Lila/Lilah/Lyla/Lylah,-1
26,2016,Paige,-1
27,2016,Ella,-1
28,2016,Grace,-1
29,2016,Sara/Sarah,-1
30,2016,Willow,-1
31,2016,Brooklyn/Brooklynn,-1
32,2016,Hailey/Haley/Haleigh/Haylee/Hayley,-1
33,2016,Kaylee/Caylee,-1
34,2016,Lexi/Lexie,-1
35,2016,Macey/Maci/Macie/Macy,-1
36,2016,Madison,-1
37,2016,Aria/Ariah/Ariea,-1
38,2016,Chloe/Khloe,-1
39,2016,Georgia/Jorja,-1
40,2016,Katherine/Catherine/Kathryn,-1
41,2016,Mia/Mya,-1
