Rank,Year,Name,Frequency
1,2020,Nathan,-1
2,2020,Ethan,-1
3,2020,Joshua,-1
4,2020,Jacob,-1
5,2020,Ryan,-1
6,2020,Nicholas,-1
7,2020,Brady,-1
8,2020,Logan,-1
9,2020,Noah,-1
10,2020,Dylan,-1
11,2020,Matthew,-1
12,2020,Kyle,-1
13,2020,Liam,-1
14,2020,Daniel,-1
15,2020,Benjamin,-1
16,2020,Andrew,-1
17,2020,Michael,-1
18,2020,William,-1
19,2020,Riley,-1
20,2020,Cameron,-1
21,2020,Alexander,-1
22,2020,Brandon,-1
23,2020,Zachary,-1
24,2020,Jack,-1
25,2020,Evan,-1
26,2020,James,-1
27,2020,Blake,-1
28,2020,Lucas,-1
29,2020,Tyler,-1
30,2020,Thomas,-1
31,2020,Aaron,-1
32,2020,Dawson,-1
33,2020,Cody,-1
34,2020,David,-1
35,2020,Christopher,-1
36,2020,Samuel,-1
37,2020,Patrick,-1
38,2020,Connor,-1
39,2020,Cole,-1
40,2020,Jonathan,-1
41,2020,Adam,-1
42,2020,Mason,-1
43,2020,Jordan,-1
44,2020,Gavin,-1
45,2020,Austin,-1
46,2020,Colby,-1
47,2020,Jayden,-1
48,2020,Caleb,-1
49,2020,Luke,-1
50,2020,Hunter,-1
51,2020,Spencer,-1
52,2020,Marcus,-1
53,2020,Eric,-1
54,2020,Isaac,-1
55,2020,Joseph,-1
56,2020,Keegan,-1
57,2020,Ashton,-1
58,2020,John,-1
59,2020,Morgan,-1
60,2020,Owen,-1
61,2020,Justin,-1
62,2020,Travis,-1
63,2020,Colin,-1
64,2020,Shawn,-1
65,2020,Aidan,-1
66,2020,Carter,-1
67,2020,Anthony,-1
68,2020,Devon,-1
69,2020,Gabriel,-1
70,2020,Brian,-1
71,2020,Alex,-1
72,2020,Shane,-1
73,2020,Mitchell,-1
74,2020,Jared,-1
75,2020,Mark,-1
76,2020,Bradley,-1
77,2020,Kaleb,-1
78,2020,Sean,-1
79,2020,Devin,-1
80,2020,Robert,-1
81,2020,Nathaniel,-1
82,2020,Braden,-1
83,2020,Peter,-1
84,2020,Tyson,-1
85,2020,Jaden,-1
86,2020,Landon,-1
87,2020,Brett,-1
88,2020,Jackson,-1
89,2020,Dominic,-1
90,2020,Christian,-1
91,2020,Brayden,-1
92,2020,Isaiah,-1
93,2020,Richard,-1
94,2020,Aiden,-1
95,2020,Jason,-1
96,2020,Colton,-1
97,2020,Brody,-1
98,2020,Zander,-1
99,2020,Dustin,-1
100,2020,Jeffrey,-1
1,2013,Jackson/Jaxon/Jaxxon/Jaxxen/Jaxen,-1
2,2013,Jack,-1
3,2013,Liam,-1
4,2013,Owen,-1
5,2013,William,-1
