Rank,Year,Name,Frequency
1,1917,Aaron,7
2,1917,Abe,5
2,1917,Abie,5
1,1917,Abraham,25
2,1917,Abram,7
1,1917,Adam,19
2,1917,Adelard,6
1,1917,Adrian,7
1,1917,Alan,34
1,1917,Albert,502
2,1917,Albin,5
2,1917,Alcide,5
1,1917,Alex,33
1,1917,Alexander,187
1,1917,Alfred,276
2,1917,Alfredo,5
1,1917,Allan,132
2,1917,Allen,51
3,1917,Almer,7
1,1917,Alphonse,13
2,1917,Alton,8
1,1917,Alvin,68
2,1917,Ambrose,16
3,1917,Amos,10
4,1917,Andre,6
1,1917,Andrew,112
2,1917,Angelo,18
1,1917,Angus,37
2,1917,Anthony,35
3,1917,Antoine,6
1,1917,Antonio,21
2,1917,Antony,5
1,1917,Archibald,38
1,1917,Archie,39
2,1917,Armand,18
1,1917,Arnold,76
1,1917,Arthur,476
2,1917,Arvo,7
1,1917,Aubrey,20
2,1917,Audrey,5
2,1917,Augustine,5
2,1917,Aurele,5
1,1917,Austin,30
1,1917,Basil,35
2,1917,Bazil,5
2,1917,Ben,5
2,1917,Benedict,5
1,1917,Benjamin,51
2,1917,Benny,5
1,1917,Bernard,91
2,1917,Bert,21
3,1917,Bertie,8
1,1917,Bertram,21
2,1917,Beverley,6
1,1917,Beverly,8
1,1917,Billie,9
2,1917,Bobbie,5
1,1917,Borden,6
1,1917,Bruce,103
2,1917,Bruno,6
1,1917,Burton,15
2,1917,Calvin,14
1,1917,Cameron,19
1,1917,Carl,92
2,1917,Carlton,7
1,1917,Carman,17
2,1917,Carmen,6
1,1917,Cecil,159
1,1917,Charles,790
2,1917,Charley,6
1,1917,Charlie,15
1,1917,Chester,29
2,1917,Christopher,18
3,1917,Clarance,15
4,1917,Clare,11
1,1917,Clarence,216
2,1917,Claud,5
1,1917,Claude,29
1,1917,Clayton,43
2,1917,Clement,14
1,1917,Clifford,171
2,1917,Clifton,9
1,1917,Clinton,16
2,1917,Clyde,13
1,1917,Colin,14
2,1917,Conrad,7
1,1917,Cornelius,8
2,1917,Curtis,5
1,1917,Cyril,53
2,1917,Dalton,10
1,1917,Daniel,91
1,1917,David,317
2,1917,Dean,5
1,1917,Delbert,24
2,1917,Denis,13
1,1917,Dennis,14
2,1917,Desmond,6
2,1917,Domenico,6
1,1917,Dominic,9
2,1917,Dominick,8
3,1917,Don,5
1,1917,Donald,497
2,1917,Douglas,279
3,1917,Dudley,6
1,1917,Duncan,38
2,1917,Dwight,5
1,1917,Earl,211
2,1917,Earle,15
1,1917,Earnest,23
2,1917,Eddie,7
1,1917,Edgar,68
2,1917,Edmond,25
1,1917,Edmund,29
1,1917,Edward,428
2,1917,Edwin,107
3,1917,Eldon,23
4,1917,Elgin,21
5,1917,Elias,6
1,1917,Elliott,8
1,1917,Elmer,103
2,1917,Elton,6
1,1917,Elwood,13
2,1917,Emanuel,7
1,1917,Emerson,22
2,1917,Emil,10
1,1917,Emile,16
1,1917,Eric,59
2,1917,Erle,5
1,1917,Ernest,284
2,1917,Ervin,6
3,1917,Erwin,5
1,1917,Eugene,43
2,1917,Everett,26
3,1917,Ewart,6
1,1917,Felix,11
2,1917,Ferdinand,6
2,1917,Fergus,6
1,1917,Fernand,8
1,1917,Floyd,33
2,1917,Frances,22
3,1917,Francesco,13
1,1917,Francis,352
2,1917,Francois,7
1,1917,Frank,306
2,1917,Franklin,37
1,1917,Fred,55
2,1917,Frederic,21
1,1917,Frederick,450
2,1917,Fredrick,42
3,1917,Gabriel,6
1,1917,Garfield,11
1,1917,Garnet,42
2,1917,Garnett,5
1,1917,George,1206
2,1917,Gerald,148
3,1917,Gerard,25
1,1917,Gilbert,45
2,1917,Gino,5
1,1917,Giovanni,10
1,1917,Glen,38
2,1917,Glenn,15
1,1917,Gorden,16
1,1917,Gordon,508
2,1917,Graham,14
1,1917,Grant,25
2,1917,Gregory,10
3,1917,Grenville,6
1,1917,Guiseppe,8
2,1917,Gustave,6
1,1917,Guy,14
2,1917,Hamilton,7
1,1917,Harley,12
1,1917,Harold,579
2,1917,Harry,357
3,1917,Harvey,94
4,1917,Harvie,5
1,1917,Hector,32
2,1917,Henri,13
1,1917,Henry,278
2,1917,Herbert,263
3,1917,Herman,21
4,1917,Hilliard,5
1,1917,Hilton,9
2,1917,Hiram,5
1,1917,Homer,10
1,1917,Horace,22
1,1917,Howard,220
2,1917,Hubert,58
1,1917,Hugh,118
2,1917,Hyman,11
1,1917,Ian,21
2,1917,Ira,18
3,1917,Irvin,14
4,1917,Irvine,8
1,1917,Irving,10
1,1917,Irwin,15
1,1917,Isaac,21
2,1917,Isidore,5
1,1917,Israel,16
1,1917,Ivan,59
2,1917,Ivor,5
1,1917,J,1774
2,1917,Jack,270
3,1917,Jacob,30
1,1917,James,1213
2,1917,Jean,50
3,1917,Jeremiah,7
1,1917,Jerome,19
2,1917,Jesse,7
1,1917,Joe,24
1,1917,John,2453
2,1917,Joseph,426
3,1917,Julian,5
1,1917,Julius,11
1,1917,Karl,16
1,1917,Keith,33
1,1917,Kenneth,357
2,1917,Laurence,23
3,1917,Laurent,11
4,1917,Laverne,5
1,1917,Lawrance,7
1,1917,Lawrence,135
2,1917,Lee,6
1,1917,Lenard,15
1,1917,Leo,131
2,1917,Leon,27
1,1917,Leonard,183
2,1917,Leopold,7
1,1917,Leroy,9
1,1917,Leslie,108
2,1917,Lester,19
3,1917,Levi,6
1,1917,Lewis,35
2,1917,Lionel,27
1,1917,Lloyd,403
2,1917,Lorenzo,14
1,1917,Lorne,91
2,1917,Louie,5
1,1917,Louis,136
2,1917,Loyd,41
3,1917,Loyde,8
1,1917,Lucien,22
2,1917,Luigi,8
3,1917,Lyall,6
1,1917,Lyle,21
1,1917,M,26
1,1917,Malcolm,37
2,1917,Malcom,6
3,1917,Marcel,5
1,1917,Mario,6
1,1917,Mark,15
1,1917,Marshall,16
1,1917,Martin,43
2,1917,Marvin,13
3,1917,Mason,5
1,1917,Mathew,7
1,1917,Matthew,12
1,1917,Maurice,81
2,1917,Max,32
3,1917,Maxwell,14
1,1917,Melville,38
1,1917,Melvin,54
2,1917,Mervin,21
3,1917,Mervyn,11
1,1917,Michael,140
2,1917,Micheal,8
3,1917,Michele,5
1,1917,Mike,28
2,1917,Milford,7
1,1917,Milton,55
2,1917,Morley,32
1,1917,Morris,56
2,1917,Moses,16
1,1917,Murray,80
2,1917,Myer,7
1,1917,Napoleon,12
2,1917,Narcisse,5
1,1917,Nathan,15
1,1917,Neil,30
1,1917,Nelson,54
2,1917,Newton,6
1,1917,Nicholas,26
2,1917,Nick,15
3,1917,Noel,5
1,1917,Norbert,8
1,1917,Norman,379
2,1917,Normand,5
2,1917,Norris,5
1,1917,Norval,6
1,1917,Olavi,6
1,1917,Oliver,43
2,1917,Omer,13
3,1917,Oral,5
1,1917,Orland,8
1,1917,Orval,33
2,1917,Orvil,8
1,1917,Orville,30
2,1917,Osborne,7
1,1917,Oscar,44
2,1917,Oswald,12
3,1917,Otto,8
3,1917,Ovila,8
1,1917,Owen,11
2,1917,Pasquale,8
1,1917,Patrick,85
1,1917,Paul,94
2,1917,Percival,15
1,1917,Percy,98
2,1917,Perry,6
1,1917,Pete,7
1,1917,Peter,162
2,1917,Philip,48
3,1917,Philippe,6
1,1917,Phillip,20
2,1917,Pierre,15
1,1917,Ralph,145
2,1917,Randolph,8
3,1917,Raoul,5
3,1917,Raphael,5
1,1917,Ray,33
1,1917,Raymond,167
2,1917,Real,5
1,1917,Reginald,112
2,1917,Rene,21
3,1917,Reuben,6
1,1917,Richard,182
1,1917,Robert,1005
2,1917,Roderick,13
3,1917,Rodney,6
1,1917,Roger,20
1,1917,Roland,30
2,1917,Rolland,7
1,1917,Romeo,17
1,1917,Ronald,99
2,1917,Roscoe,5
1,1917,Ross,92
2,1917,Rowland,6
1,1917,Roy,278
2,1917,Royal,12
3,1917,Ruben,11
4,1917,Rudolph,6
5,1917,Rupert,5
1,1917,Russel,41
1,1917,Russell,152
2,1917,Salvatore,7
1,1917,Sam,25
1,1917,Samuel,155
2,1917,Sheldon,5
2,1917,Sherman,5
1,1917,Sidney,84
2,1917,Silas,6
3,1917,Simeon,5
1,1917,Simon,9
1,1917,Solomon,16
2,1917,Stafford,6
3,1917,Stanislaus,5
1,1917,Stanley,218
2,1917,Stefan,5
1,1917,Stephen,68
2,1917,Sterling,6
1,1917,Steve,13
2,1917,Steven,7
1,1917,Stewart,47
1,1917,Stuart,50
2,1917,Sydney,35
3,1917,Sylvester,7
4,1917,Tauno,5
1,1917,Theodore,32
2,1917,Theophile,6
1,1917,Thomas,629
2,1917,Timothy,5
1,1917,Toivo,6
2,1917,Tom,5
1,1917,Tony,17
2,1917,Verdun,11
3,1917,Verne,6
1,1917,Vernon,69
1,1917,Victor,144
2,1917,Vincent,75
3,1917,Vittorio,5
1,1917,Vivian,6
1,1917,Waino,7
1,1917,Wallace,47
1,1917,Walter,396
2,1917,Warren,24
3,1917,Wellington,12
4,1917,Wendell,5
1,1917,Wesley,51
2,1917,Wilber,6
1,1917,Wilbert,65
2,1917,Wilbur,13
3,1917,Wilford,12
1,1917,Wilfred,203
2,1917,Wilfrid,40
3,1917,Willard,24
1,1917,William,2236
2,1917,Williard,5
1,1917,Willie,18
2,1917,Willis,17
3,1917,Wilmer,8
4,1917,Wilmot,7
1,1917,Wilson,16
2,1917,Winston,8
1,1917,Woodrow,13
2,1917,Wray,5
1,1918,Aaron,7
1,1918,Abraham,32
2,1918,Adam,16
3,1918,Adelard,8
4,1918,Adolf,5
4,1918,Adolphus,5
4,1918,Adrian,5
4,1918,Agostino,5
1,1918,Alan,29
1,1918,Albert,482
2,1918,Alcide,11
3,1918,Aldo,6
4,1918,Alec,5
1,1918,Alex,22
1,1918,Alexander,209
1,1918,Alfred,232
2,1918,Allan,127
3,1918,Allen,72
4,1918,Alonzo,8
1,1918,Alphonse,20
2,1918,Alton,8
3,1918,Alva,7
1,1918,Alvin,57
2,1918,Ambrose,16
3,1918,Amos,10
1,1918,Andrew,94
2,1918,Angelo,12
1,1918,Angus,31
2,1918,Anson,5
1,1918,Anthony,46
2,1918,Antoine,7
1,1918,Antonio,29
1,1918,Archibald,52
2,1918,Archie,28
3,1918,Armand,22
1,1918,Arnold,76
1,1918,Arthur,480
2,1918,Athol,5
1,1918,Aubrey,14
2,1918,Audrey,6
3,1918,August,5
1,1918,Augustine,6
1,1918,Aurele,6
1,1918,Austin,25
1,1918,Basil,29
2,1918,Ben,6
1,1918,Benjamin,56
1,1918,Bernard,91
2,1918,Bert,21
3,1918,Bertie,5
3,1918,Berton,5
1,1918,Bertram,18
2,1918,Beverley,12
3,1918,Beverly,11
4,1918,Bill,5
4,1918,Billie,5
1,1918,Billy,8
2,1918,Blake,7
3,1918,Boleslaw,5
1,1918,Borden,6
1,1918,Brian,7
1,1918,Bruce,106
2,1918,Burton,13
3,1918,Byron,7
1,1918,Calvin,17
2,1918,Cameron,14
3,1918,Campbell,6
1,1918,Carl,96
2,1918,Carlton,6
1,1918,Carman,15
2,1918,Carmen,6
3,1918,Carol,5
1,1918,Carroll,7
1,1918,Carson,10
1,1918,Cecil,145
1,1918,Charles,822
2,1918,Charlie,23
1,1918,Chester,31
2,1918,Christopher,14
1,1918,Clarance,23
1,1918,Clarence,232
2,1918,Clark,6
2,1918,Claud,6
1,1918,Claude,23
1,1918,Clayton,44
2,1918,Clement,11
1,1918,Clifford,205
2,1918,Clifton,9
1,1918,Clinton,16
2,1918,Clyde,10
1,1918,Colin,14
1,1918,Conrad,16
2,1918,Cornelius,6
1,1918,Cyril,32
2,1918,Dalton,16
1,1918,Daniel,72
2,1918,Darcy,6
1,1918,David,294
2,1918,Delbert,21
3,1918,Delmer,9
4,1918,Denis,7
1,1918,Dennis,16
2,1918,Desmond,8
3,1918,Dominic,7
4,1918,Dominico,6
1,1918,Donald,534
2,1918,Dougald,5
1,1918,Douglas,429
2,1918,Duncan,29
3,1918,Dwight,8
1,1918,Earl,172
2,1918,Earle,24
1,1918,Earnest,39
2,1918,Eddie,7
1,1918,Edgar,71
2,1918,Edmond,25
1,1918,Edmund,29
2,1918,Edouard,5
1,1918,Edward,472
2,1918,Edwin,107
3,1918,Eino,5
3,1918,Elbert,5
1,1918,Eldon,18
2,1918,Eldred,5
1,1918,Elgin,20
2,1918,Eli,7
3,1918,Elijah,6
3,1918,Ellwood,6
1,1918,Elmer,140
2,1918,Elmo,5
1,1918,Elton,6
1,1918,Elwood,20
2,1918,Elwyn,6
3,1918,Emanuel,5
1,1918,Emerson,22
2,1918,Emile,17
1,1918,Eric,63
2,1918,Erminio,5
1,1918,Ernest,272
2,1918,Ernie,5
1,1918,Erwin,7
1,1918,Eugene,65
2,1918,Evan,9
1,1918,Everett,47
2,1918,Ewart,14
3,1918,Ezra,5
1,1918,Felix,9
2,1918,Ferdinand,7
3,1918,Fergus,5
1,1918,Fernand,7
1,1918,Floyd,32
2,1918,Frances,18
3,1918,Francesco,6
1,1918,Francis,343
2,1918,Francisco,5
1,1918,Francois,7
1,1918,Frank,298
2,1918,Franklin,47
3,1918,Fraser,8
1,1918,Fred,78
2,1918,Freddie,5
1,1918,Frederic,17
1,1918,Frederick,410
2,1918,Fredrick,67
3,1918,Garfield,15
1,1918,Garnet,61
1,1918,George,1193
2,1918,Gerald,188
3,1918,Gerard,29
1,1918,Gilbert,64
2,1918,Giovanni,8
1,1918,Glen,41
2,1918,Glenn,19
3,1918,Godfrey,5
3,1918,Gordan,5
1,1918,Gorden,11
1,1918,Gordon,552
2,1918,Graham,14
1,1918,Grant,19
2,1918,Gregory,7
3,1918,Grenville,5
1,1918,Guiseppe,8
1,1918,Guy,8
1,1918,Harold,591
2,1918,Harris,11
3,1918,Harrold,5
1,1918,Harry,370
2,1918,Harvey,100
3,1918,Harvie,5
1,1918,Hector,33
2,1918,Henery,5
1,1918,Henri,17
1,1918,Henry,256
2,1918,Herbert,239
3,1918,Herman,27
4,1918,Hilliard,7
5,1918,Hiram,6
1,1918,Homer,9
1,1918,Horace,23
1,1918,Howard,242
2,1918,Hubert,39
1,1918,Hugh,123
2,1918,Hyman,9
1,1918,Ian,18
2,1918,Ira,6
1,1918,Irvin,12
2,1918,Irvine,9
1,1918,Irving,17
1,1918,Irwin,18
2,1918,Isaac,12
3,1918,Isidore,6
1,1918,Israel,11
1,1918,Ivan,63
1,1918,J,1929
2,1918,Jack,244
3,1918,Jackson,7
1,1918,Jacob,24
1,1918,James,1257
2,1918,Jean,58
3,1918,Jeremiah,5
1,1918,Jerome,14
2,1918,Jesse,9
1,1918,Joe,22
2,1918,Joel,5
1,1918,John,2364
2,1918,Joseph,444
3,1918,Julian,9
4,1918,Julius,6
4,1918,Justin,6
1,1918,Karl,19
1,1918,Keith,35
2,1918,Keneth,5
1,1918,Kenneth,394
2,1918,Laurence,22
3,1918,Laurent,17
4,1918,Lauri,8
5,1918,Lavern,7
1,1918,Lawrence,169
2,1918,Lawson,5
1,1918,Lenard,9
2,1918,Lennard,5
1,1918,Leo,106
2,1918,Leon,20
1,1918,Leonard,172
2,1918,Leopold,9
1,1918,Leroy,13
1,1918,Leslie,101
2,1918,Lester,12
3,1918,Levi,5
1,1918,Lewis,43
2,1918,Lionel,25
1,1918,Lloyd,362
2,1918,Lorenzo,6
1,1918,Lorne,116
1,1918,Louis,119
2,1918,Loyd,36
3,1918,Lucien,30
4,1918,Luigi,10
1,1918,Lyle,23
1,1918,M,26
2,1918,Mac,5
1,1918,Malcolm,33
2,1918,Marcel,6
3,1918,Margaret,5
3,1918,Marian,5
3,1918,Mario,5
3,1918,Marion,5
1,1918,Mark,17
1,1918,Marshall,19
1,1918,Martin,35
2,1918,Marvin,9
3,1918,Mathew,5
1,1918,Matthew,17
1,1918,Maurice,70
2,1918,Max,37
3,1918,Maxwell,16
4,1918,Maynard,5
1,1918,Melville,51
1,1918,Melvin,54
2,1918,Meredith,5
2,1918,Merle,5
1,1918,Mervin,28
2,1918,Mervyn,13
1,1918,Michael,147
2,1918,Micheal,5
1,1918,Michel,7
1,1918,Mike,26
1,1918,Milton,56
2,1918,Moise,6
1,1918,Morgan,9
1,1918,Morley,32
1,1918,Morris,63
2,1918,Mortimer,5
1,1918,Moses,13
1,1918,Murray,105
2,1918,Murry,9
3,1918,Myer,5
1,1918,Myron,6
1,1918,Napoleon,10
2,1918,Nathan,9
3,1918,Nathaniel,5
1,1918,Neil,29
1,1918,Nelson,53
2,1918,Nicholas,28
3,1918,Nick,19
4,1918,Noel,13
1,1918,Norman,356
2,1918,Norval,6
3,1918,Nykola,5
3,1918,Oiva,5
1,1918,Oliver,30
2,1918,Omer,18
3,1918,Orland,6
1,1918,Orlando,8
2,1918,Orley,6
1,1918,Orval,23
1,1918,Orville,28
1,1918,Oscar,45
2,1918,Oswald,7
3,1918,Otto,6
3,1918,Ovila,6
1,1918,Owen,12
2,1918,Pasquale,9
1,1918,Patrick,97
1,1918,Paul,120
2,1918,Percival,18
1,1918,Percy,87
