Rank,Year,Name,Frequency
1,2013,Noah,61
2,2013,Liam,57
3,2013,Leo,49
4,2013,Jack,48
5,2013,Lucas,46
5,2013,Theodore,46
7,2013,Benjamin,43
7,2013,James,43
9,2013,Levi,41
9,2013,Lincoln,41
9,2013,Oliver,41
12,2013,Walker,39
13,2013,William,37
14,2013,Asher,33
14,2013,Beau,33
14,2013,Maverick,33
17,2013,Alexander,32
17,2013,Hudson,32
17,2013,Luke,32
20,2013,Elijah,30
1,2014,Liam,85
2,2014,William,67
3,2014,Noah,66
4,2014,Jacob,62
5,2014,Mason,60
6,2014,Hudson,57
6,2014,Logan,57
8,2014,Alexander,56
8,2014,Carter,56
8,2014,Jaxon,56
11,2014,Jack,55
11,2014,Lucas,55
13,2014,Hunter,52
13,2014,Oliver,52
15,2014,Lincoln,51
16,2014,Luke,50
17,2014,Owen,48
17,2014,Samuel,48
19,2014,Ethan,47
20,2014,Benjamin,45
