Rank,Year,Name,Frequency
1,1944,MARGARET,341
2,1944,HELEN,209
3,1944,JUDITH,189
4,1944,PATRICIA,186
5,1944,PAMELA,160
6,1944,ELIZABETH,153
7,1944,JENNIFER,149
8,1944,BARBARA,147
9,1944,LORRAINE,143
10,1944,CHRISTINE,135
11,1944,BEVERLEY,114
12,1944,JANICE,107
12,1944,SANDRA,107
14,1944,LYNETTE,106
15,1944,JILLIAN,98
16,1944,JANET,97
17,1944,MARY,96
18,1944,HEATHER,94
19,1944,SHIRLEY,93
20,1944,RAELENE,81
21,1944,ROSEMARY,78
22,1944,PAULINE,77
23,1944,WENDY,73
24,1944,MARLENE,69
25,1944,DIANNE,68
25,1944,KAY,68
27,1944,MAXINE,65
28,1944,JOAN,62
29,1944,KATHLEEN,60
29,1944,KAYE,60
31,1944,COLLEEN,58
32,1944,SUSAN,53
33,1944,GLORIA,52
34,1944,MAUREEN,51
35,1944,MARILYN,49
36,1944,MARIE,47
37,1944,ELAINE,46
38,1944,JOSEPHINE,45
39,1944,LEONIE,44
40,1944,ANNE,43
40,1944,VALERIE,43
42,1944,ANN,42
42,1944,JEANETTE,42
44,1944,CAROLYN,41
44,1944,YVONNE,41
46,1944,DIANA,40
47,1944,RHONDA,36
48,1944,BEVERLY,35
49,1944,DOROTHY,34
50,1944,DIANE,33
50,1944,JANETTE,33
50,1944,JULIE,33
53,1944,FRANCES,31
53,1944,SUZANNE,31
55,1944,GLENYS,30
56,1944,LESLEY,29
57,1944,BETTY,28
57,1944,JUNE,28
59,1944,DENISE,27
60,1944,CAROL,26
60,1944,KAYLENE,26
62,1944,BRENDA,25
62,1944,RUTH,25
64,1944,IRENE,24
64,1944,MEREDITH,24
64,1944,ROSSLYN,24
67,1944,RAYLENE,23
67,1944,ROSALIE,23
67,1944,VERONICA,23
70,1944,CYNTHIA,22
70,1944,JOY,22
72,1944,JOYLEEN,21
73,1944,ANNETTE,20
74,1944,DAWN,18
74,1944,GERALDINE,18
74,1944,MARION,18
77,1944,ALISON,17
77,1944,GLENDA,17
79,1944,CATHERINE,16
79,1944,EILEEN,16
79,1944,JOYCE,16
82,1944,CAROLE,15
82,1944,FAY,15
82,1944,KATHRYN,15
82,1944,ROBYN,15
86,1944,AILEEN,14
86,1944,CARMEL,14
86,1944,CORALIE,14
86,1944,GILLIAN,14
86,1944,JEAN,14
86,1944,LOIS,14
86,1944,PENELOPE,14
93,1944,GAYNOR,13
93,1944,NANCY,13
95,1944,CLAIRE,12
95,1944,DAPHNE,12
95,1944,FAYE,12
95,1944,JANE,12
95,1944,MARIA,12
95,1944,ROSALIND,12
95,1944,ROSLYN,12
95,1944,SYLVIA,12
103,1944,ELLEN,11
103,1944,ERICA,11
103,1944,GAIL,11
103,1944,GWENDA,11
103,1944,JULIA,11
103,1944,MERILYN,11
103,1944,ROMA,11
110,1944,ADRIENNE,10
110,1944,LORNA,10
110,1944,ROBIN,10
110,1944,SUSANNE,10
110,1944,VALMAI,10
110,1944,VIVIENNE,10
116,1944,BERYL,9
116,1944,CHERYL,9
116,1944,CORAL,9
116,1944,EVELYN,9
116,1944,JACQUELINE,9
116,1944,JANINE,9
116,1944,NORMA,9
116,1944,RONDA,9
116,1944,VALDA,9
116,1944,VALMA,9
126,1944,BRONWYN,8
126,1944,JOYLENE,8
126,1944,MARCIA,8
126,1944,MARJORIE,8
126,1944,MERRILYN,8
126,1944,NATALIE,8
126,1944,PEGGY,8
126,1944,PHYLLIS,8
126,1944,VIRGINIA,8
135,1944,AUDREY,7
135,1944,CAROLINE,7
135,1944,CHRISTINA,7
135,1944,DOREEN,7
135,1944,ELEANOR,7
135,1944,GLADYS,7
135,1944,JENIFER,7
135,1944,MONICA,7
135,1944,PRUDENCE,7
135,1944,SALLY,7
135,1944,STEPHANIE,7
135,1944,UNNAMED,7
147,1944,ANDREA,6
147,1944,ANGELA,6
147,1944,DEIRDRE,6
147,1944,ELSIE,6
147,1944,ELVA,6
147,1944,FLORENCE,6
147,1944,IRIS,6
147,1944,LARAINE,6
147,1944,LYNNE,6
147,1944,MICHELE,6
147,1944,MIRIAM,6
158,1944,ALMA,5
158,1944,BETH,5
158,1944,CARLENE,5
158,1944,GLENICE,5
158,1944,JANIS,5
158,1944,JILL,5
158,1944,KAYLEEN,5
158,1944,LAUREL,5
158,1944,LENORE,5
158,1944,LYNNETTE,5
158,1944,MARIAN,5
158,1944,MERYL,5
158,1944,NOLA,5
158,1944,NOREEN,5
158,1944,TERESA,5
173,1944,ALICE,4
173,1944,ANTHEA,4
173,1944,AVIS,4
173,1944,BONITA,4
173,1944,BRONWEN,4
173,1944,CARLEEN,4
173,1944,CONSTANCE,4
173,1944,DEANNA,4
173,1944,DESMA,4
173,1944,DIANNA,4
173,1944,DONNA,4
173,1944,EDNA,4
173,1944,ELISABETH,4
173,1944,FAITH,4
173,1944,GABRIELLE,4
173,1944,GAY,4
173,1944,GENEVIEVE,4
173,1944,GRACE,4
173,1944,GWENDOLINE,4
173,1944,GWENETH,4
173,1944,HELENE,4
173,1944,JUANITA,4
173,1944,LINDA,4
173,1944,LORAINE,4
173,1944,LUCILLE,4
173,1944,MARALYN,4
173,1944,MERLE,4
173,1944,MOIRA,4
173,1944,OLIVE,4
173,1944,PHILIPPA,4
173,1944,RAYLEEN,4
173,1944,RONA,4
173,1944,ROSE,4
206,1944,ALTHEA,3
206,1944,BERNICE,3
206,1944,BETTE,3
206,1944,CECILY,3
206,1944,CHERIE,3
206,1944,COLEEN,3
206,1944,DALE,3
206,1944,DORIS,3
206,1944,FELICITY,3
206,1944,GEORGINA,3
206,1944,GRETA,3
206,1944,HAZEL,3
206,1944,HELENA,3
206,1944,JAN,3
206,1944,JOSEPHENE,3
206,1944,JUDY,3
206,1944,KAREN,3
206,1944,KATHERINE,3
206,1944,KERRY,3
