Rank,Year,Name,Frequency
1,1944,JOHN,477
2,1944,ROBERT,450
3,1944,PETER,357
4,1944,DAVID,265
5,1944,TREVOR,243
6,1944,GRAHAM,239
7,1944,BRIAN,189
8,1944,BARRY,185
9,1944,IAN,152
10,1944,GEOFFREY,143
11,1944,WILLIAM,128
12,1944,KEVIN,126
13,1944,ROGER,118
14,1944,RICHARD,116
15,1944,MALCOLM,113
16,1944,MICHAEL,111
16,1944,RAYMOND,111
18,1944,RONALD,108
19,1944,ANTHONY,106
20,1944,DENNIS,101
21,1944,JAMES,100
22,1944,KENNETH,99
23,1944,COLIN,94
24,1944,DONALD,85
25,1944,DOUGLAS,72
26,1944,WAYNE,71
27,1944,RODNEY,66
28,1944,BRUCE,63
28,1944,JEFFREY,63
30,1944,ALAN,61
31,1944,CHRISTOPHER,60
32,1944,DESMOND,57
33,1944,TERENCE,52
34,1944,ALLAN,50
34,1944,THOMAS,50
36,1944,DEAN,47
37,1944,KEITH,46
38,1944,PAUL,43
39,1944,ROBIN,42
40,1944,GARY,41
41,1944,DARRYL,38
42,1944,BRENTON,37
43,1944,LESLIE,36
44,1944,PHILLIP,35
45,1944,MAXWELL,32
46,1944,EDWARD,30
47,1944,ADRIAN,29
47,1944,GORDON,29
47,1944,NEIL,29
47,1944,NEVILLE,29
51,1944,DENIS,26
51,1944,NOEL,26
53,1944,BARRIE,25
53,1944,GEORGE,25
53,1944,PHILIP,25
53,1944,ROSS,25
57,1944,ANDREW,24
57,1944,MURRAY,24
59,1944,GARRY,23
59,1944,TERRY,23
61,1944,ERIC,22
61,1944,GRAEME,22
63,1944,LEONARD,20
64,1944,ALLEN,19
64,1944,FRANCIS,19
64,1944,LEON,19
64,1944,WARREN,19
68,1944,GLEN,18
68,1944,MAURICE,18
68,1944,MERVYN,18
71,1944,ARTHUR,17
71,1944,TERRENCE,17
73,1944,CHARLES,16
73,1944,GERALD,16
75,1944,CRAIG,15
75,1944,DARYL,15
75,1944,FREDERICK,15
75,1944,REGINALD,15
75,1944,RUSSELL,15
80,1944,ERROL,14
80,1944,HOWARD,14
80,1944,REX,14
80,1944,STEPHEN,14
84,1944,HAROLD,13
84,1944,PATRICK,13
86,1944,BERNARD,12
86,1944,BRYAN,12
86,1944,FRANK,12
86,1944,GRANT,12
86,1944,LINDSAY,12
91,1944,CLIFFORD,11
91,1944,GREGORY,11
91,1944,IVAN,11
91,1944,JEFFERY,11
91,1944,NORMAN,11
96,1944,BEVAN,10
96,1944,CLIVE,10
96,1944,DARRELL,10
96,1944,ERNEST,10
96,1944,KINGSLEY,10
96,1944,LAWRENCE,10
96,1944,MARK,10
96,1944,ROY,10
96,1944,VICTOR,10
105,1944,GRANTLEY,9
105,1944,MILTON,9
107,1944,DANIEL,8
107,1944,GILBERT,8
107,1944,HUGH,8
107,1944,LAURENCE,8
107,1944,LEO,8
107,1944,STANLEY,8
107,1944,TERRANCE,8
107,1944,UNNAMED,8
107,1944,VINCENT,8
116,1944,DALE,7
116,1944,EDWIN,7
116,1944,GAVIN,7
116,1944,JOSEPH,7
116,1944,LOUIS,7
116,1944,MARTIN,7
116,1944,ROLAND,7
123,1944,ALBERT,6
123,1944,ANTONY,6
123,1944,BRENDAN,6
123,1944,BRONTE,6
123,1944,CLARENCE,6
123,1944,GLENN,6
123,1944,HARRY,6
123,1944,JON,6
123,1944,LYNDON,6
123,1944,NICHOLAS,6
123,1944,OWEN,6
123,1944,RALPH,6
123,1944,SYDNEY,6
123,1944,VERNON,6
137,1944,ALEXANDER,5
137,1944,ALFRED,5
137,1944,ARNOLD,5
137,1944,CYRIL,5
137,1944,JONATHAN,5
137,1944,LEIGH,5
137,1944,MELVILLE,5
137,1944,MELVYN,5
137,1944,MORRIS,5
137,1944,RODGER,5
137,1944,STEWART,5
137,1944,STUART,5
137,1944,WALTER,5
150,1944,ASHLEY,4
150,1944,DEANE,4
150,1944,DUDLEY,4
150,1944,EUGENE,4
150,1944,HARVEY,4
150,1944,KIM,4
150,1944,KYM,4
150,1944,LEWIS,4
150,1944,LIONEL,4
150,1944,NIGEL,4
150,1944,RODERICK,4
150,1944,TIMOTHY,4
150,1944,VAUGHAN,4
150,1944,WINSTON,4
164,1944,ANTONIO,3
164,1944,BRENDON,3
164,1944,CARL,3
164,1944,CEDRIC,3
164,1944,DARREL,3
164,1944,EDGAR,3
164,1944,GARTH,3
164,1944,HEDLEY,3
164,1944,JACK,3
164,1944,JEREMY,3
164,1944,KELVIN,3
164,1944,KERRY,3
164,1944,KYLE,3
164,1944,LAURIE,3
164,1944,LEIGHTON,3
164,1944,LYALL,3
164,1944,LYNN,3
164,1944,LYNTON,3
164,1944,MARCUS,3
164,1944,MATHEW,3
164,1944,MAX,3
164,1944,MELVIN,3
164,1944,MICHEAL,3
164,1944,NEWTON,3
164,1944,RAMON,3
164,1944,VINCENZO,3
164,1944,VIVIAN,3
164,1944,WESLEY,3
192,1944,ALEC,2
192,1944,ALWYN,2
192,1944,BENJAMIN,2
192,1944,BRADLEY,2
192,1944,BRUNO,2
192,1944,CHESTER,2
192,1944,CLAUDE,2
192,1944,CLEMENT,2
192,1944,CLYDE,2
192,1944,COLLIN,2
192,1944,DEON,2
192,1944,DON,2
192,1944,EMMANUEL,2
192,1944,FRANCESCO,2
192,1944,FRANKLIN,2
192,1944,FRANKLYN,2
192,1944,GENE,2
192,1944,GEOFFRY,2
192,1944,GIOVANNI,2
192,1944,GREGOR,2
192,1944,HARTLEY,2
192,1944,HAYDN,2
192,1944,HENRY,2
192,1944,JEFFERSON,2
192,1944,JOHN,2
192,1944,KEVIN,2
192,1944,LEE,2
192,1944,LEITH,2
192,1944,LELAND,2
192,1944,LEN,2
192,1944,LINTON,2
192,1944,LLEWELLYN,2
192,1944,LLOYD,2
192,1944,LUKE,2
192,1944,LYELL,2
192,1944,MANOLIS,2
192,1944,MARGARET,2
192,1944,MATTHEW,2
192,1944,PERRY,2
192,1944,RAY,2
192,1944,ROBERT,2
192,1944,RORY,2
192,1944,TERANCE,2
192,1944,TRAVIS,2
192,1944,WILFRED,2
192,1944,WILTON,2
192,1944,WYNTON,2
239,1944,ABDUL,1
239,1944,ADOLPHUS,1
239,1944,ALEX,1
239,1944,ALEXIE,1
239,1944,ALISTER,1
239,1944,ALTON,1
239,1944,AMBROSE,1
239,1944,ANDREAS,1
239,1944,ANGUS,1
239,1944,ANSTEY,1
239,1944,ANTHONEY,1
239,1944,ANTHONY,1
239,1944,ANTON,1
239,1944,ANTONINO,1
239,1944,ARCHIBALD,1
239,1944,ARCHIE,1
239,1944,ARNE,1
239,1944,ASHLY,1
239,1944,ASTON,1
239,1944,AUBREY,1
239,1944,AUBURN,1
239,1944,AUGUSTUS,1
239,1944,BADEN,1
239,1944,BARBARA,1
239,1944,BENTLEIGH,1
239,1944,BEVEN,1
239,1944,BEVERLEY,1
239,1944,BEVIN,1
239,1944,BEVIS,1
239,1944,BOOTH,1
239,1944,BRANDON,1
239,1944,BRAYDON,1
239,1944,BRENDEN,1
239,1944,BRETT,1
239,1944,BRIAN,1
239,1944,BROOKE,1
239,1944,BRYCE,1
239,1944,CAROLYN,1
239,1944,CECIL,1
239,1944,CHRIS,1
239,1944,CLINTON,1
239,1944,CON,1
239,1944,CRAWFORD,1
239,1944,CREAGH,1
239,1944,CROMWELL,1
239,1944,D'ARCY,1
239,1944,DARCY,1
239,1944,DAROYLE,1
239,1944,DARROL,1
239,1944,DARROLD,1
239,1944,DARRYLE,1
239,1944,DARYLE,1
239,1944,DAYLE,1
239,1944,DEMETREA,1
239,1944,DEMETRIUS,1
239,1944,DEMOTRIOUS,1
239,1944,DENE,1
239,1944,DENIO,1
239,1944,DENYS,1
239,1944,DEREK,1
239,1944,DERRICK,1
239,1944,DEVIN,1
239,1944,DION,1
239,1944,DOMENICO,1
239,1944,DONALD,1
239,1944,DONAVON,1
239,1944,DUKE,1
239,1944,DUNCAN,1
239,1944,ELDON,1
239,1944,ELFORD,1
239,1944,ELLIS,1
239,1944,ENZI,1
239,1944,ERNST,1
239,1944,EWAN,1
239,1944,FELICE,1
239,1944,FELIGE,1
239,1944,FERDINANDO,1
239,1944,FLEUR,1
239,1944,FRANCES,1
239,1944,FRANCIS,1
239,1944,FRED,1
239,1944,FREDDE,1
239,1944,FREDRICK,1
239,1944,FRIEDERICK,1
239,1944,GARFIELD,1
239,1944,GARRIE,1
239,1944,GAVAN,1
239,1944,GEMMEL,1
239,1944,GEOFFERY,1
239,1944,GEORGEOS,1
239,1944,GILES,1
239,1944,GILFORD,1
239,1944,GILMORE,1
239,1944,GIUSEPPI,1
239,1944,GLYN,1
239,1944,GLYNE,1
239,1944,GLYNN,1
239,1944,GORDEN,1
239,1944,GORDON,1
239,1944,GRAEM,1
239,1944,GRATTON,1
239,1944,GUISEPPE,1
239,1944,GUMARS,1
239,1944,HAL,1
239,1944,HALLAM,1
239,1944,HAMISH,1
239,1944,HARCOURT,1
239,1944,HARLEY,1
239,1944,HAYDEN,1
239,1944,HAYDON,1
239,1944,HEATHER,1
239,1944,HOBART,1
239,1944,INES,1
239,1944,ION,1
239,1944,IVEN,1
239,1944,IVOR,1
239,1944,JEANETTE,1
239,1944,JEFFEREY,1
239,1944,JENE,1
239,1944,JEOFFREY,1
239,1944,JESS,1
239,1944,JIM,1
239,1944,JOCK,1
239,1944,JULIAN,1
239,1944,KARL,1
239,1944,KASIMIR,1
239,1944,KATHLEEN,1
239,1944,KAY,1
239,1944,KEITH,1
239,1944,KELL,1
239,1944,KENELM,1
239,1944,KENNETH,1
239,1944,KENT,1
239,1944,KENTON,1
239,1944,KEVAN,1
239,1944,KEVEN,1
239,1944,KEVERN,1
239,1944,KYMLEY,1
239,1944,KYRAN,1
239,1944,LACHLAN,1
239,1944,LANCE,1
239,1944,LARRY,1
239,1944,LENARD,1
239,1944,LENNARD,1
239,1944,LEONARDO,1
239,1944,LEROY,1
239,1944,LESLEY,1
239,1944,LESTER,1
239,1944,LINCOLN,1
239,1944,LINDLEY,1
239,1944,LINO,1
239,1944,LOUIS,1
239,1944,LYAL,1
239,1944,LYLE,1
239,1944,LYNETON,1
239,1944,LYNNE,1
239,1944,MAJO,1
239,1944,MALCOM,1
239,1944,MALVERN,1
239,1944,MANUEL,1
239,1944,MARIO,1
239,1944,MARLOW,1
239,1944,MARSHALL,1
239,1944,MARY,1
239,1944,MAURO,1
239,1944,MAXIM,1
239,1944,MAXWELL,1
239,1944,MERILYN,1
239,1944,MERRYN,1
239,1944,MITCHELL,1
239,1944,MONTE,1
239,1944,MONTY,1
239,1944,MORTLOCK,1
239,1944,MORTON,1
239,1944,MORVAN,1
239,1944,MOSTON,1
239,1944,NAPIER,1
239,1944,NEALE,1
239,1944,NEILL,1
239,1944,NELSON,1
239,1944,NEVIL,1
239,1944,NEVILE,1
239,1944,NICHOLIS,1
239,1944,NICK,1
239,1944,NORRIS,1
239,1944,PARIS,1
239,1944,PASQUALE,1
239,1944,PAULINE,1
239,1944,PAULL,1
239,1944,PERCIVAL,1
239,1944,PHILIPPE,1
239,1944,PONTALES,1
239,1944,PRUDENCE,1
239,1944,QUENTIN,1
239,1944,QUENTON,1
239,1944,RAELENE,1
239,1944,RALSTON,1
239,1944,RAOUL,1
239,1944,RAYMON,1
239,1944,REG,1
239,1944,REINHOLD,1
239,1944,RENDELL,1
239,1944,RENE,1
239,1944,RENFREY,1
239,1944,REVICE,1
239,1944,REXTON,1
